LR999927.1 1 100000 
LR999927.1 100001 200000 780
LR999927.1 200001 300000 4912
LR999927.1 300001 400000 14619
LR999927.1 400001 500000 635
LR999927.1 500001 600000 1939
LR999927.1 600001 700000 7855
LR999927.1 700001 800000 1073
LR999927.1 800001 900000 565
LR999927.1 900001 1e+06 1440
LR999927.1 1e+06 1.1e+06 1624
LR999927.1 1.1e+06 1.2e+06 780
LR999927.1 1.2e+06 1.3e+06 6729
LR999927.1 1.3e+06 1.4e+06 1374
LR999927.1 1.4e+06 1.5e+06 332
LR999927.1 1.5e+06 1.6e+06 793
LR999927.1 1.6e+06 1.7e+06 1364
LR999927.1 1.7e+06 1.8e+06 883
LR999927.1 1.8e+06 1.9e+06 5832
LR999927.1 1.9e+06 2e+06 752
LR999927.1 2e+06 2.1e+06 3166
LR999927.1 2.1e+06 2.2e+06 653
LR999927.1 2.2e+06 2.3e+06 642
LR999927.1 2.3e+06 2.4e+06 818
LR999927.1 2.4e+06 2.5e+06 549
LR999927.1 2.5e+06 2.6e+06 585
LR999927.1 2.6e+06 2.7e+06 6202
LR999927.1 2.7e+06 2.8e+06 471
LR999927.1 2.8e+06 2.9e+06 5261
LR999927.1 2.9e+06 3e+06 1817
LR999927.1 3e+06 3.1e+06 439
LR999927.1 3.1e+06 3.2e+06 7709
LR999927.1 3.2e+06 3.3e+06 2424
LR999927.1 3.3e+06 3.4e+06 6148
LR999927.1 3.4e+06 3.5e+06 1717
LR999927.1 3.5e+06 3.6e+06 10141
LR999927.1 3.6e+06 3.7e+06 22660
LR999927.1 3.7e+06 3.8e+06 8950
LR999927.1 3.8e+06 3.9e+06 8047
LR999927.1 3.9e+06 4e+06 2069
LR999927.1 4e+06 4.1e+06 11026
LR999927.1 4.1e+06 4.2e+06 23933
LR999927.1 4.2e+06 4.3e+06 6981
LR999927.1 4.3e+06 4.4e+06 7224
LR999927.1 4.4e+06 4.5e+06 711
LR999927.1 4.5e+06 4.6e+06 134
LR999927.1 4.6e+06 4.7e+06 2186
LR999927.1 4.7e+06 4.8e+06 1884
LR999927.1 4.8e+06 4.9e+06 5358
LR999927.1 4.9e+06 5e+06 1773
LR999927.1 5e+06 5.1e+06 
LR999927.1 5.1e+06 5.2e+06 477
LR999927.1 5.2e+06 5.3e+06 160
LR999927.1 5.3e+06 5.4e+06 361
LR999927.1 5.4e+06 5.5e+06 
LR999927.1 5.5e+06 5.6e+06 386
LR999927.1 5.6e+06 5.7e+06 268
LR999927.1 5.7e+06 5.8e+06 608
LR999927.1 5.8e+06 5.9e+06 332
LR999927.1 5.9e+06 6e+06 836
LR999927.1 6e+06 6.1e+06 1409
LR999927.1 6.1e+06 6.2e+06 232
LR999927.1 6.2e+06 6.3e+06 2949
LR999927.1 6.3e+06 6.4e+06 867
LR999927.1 6.4e+06 6.5e+06 486
LR999927.1 6.5e+06 6.6e+06 63
LR999927.1 6.6e+06 6.7e+06 
LR999927.1 6.7e+06 6.8e+06 6331
LR999927.1 6.8e+06 6.9e+06 473
LR999927.1 6.9e+06 7e+06 680
LR999927.1 7e+06 7.1e+06 529
LR999927.1 7.1e+06 7.2e+06 497
LR999927.1 7.2e+06 7.3e+06 
LR999927.1 7.3e+06 7.4e+06 2136
LR999927.1 7.4e+06 7.5e+06 6122
LR999927.1 7.5e+06 7.6e+06 6122
LR999927.1 7.6e+06 7.7e+06 6124
LR999927.1 7.7e+06 7.8e+06 7096
LR999927.1 7.8e+06 7.9e+06 5156
LR999927.1 7.9e+06 8e+06 455
LR999927.1 8e+06 8.1e+06 777
LR999927.1 8.1e+06 8.2e+06 14017
LR999927.1 8.2e+06 8.3e+06 167
LR999927.1 8.3e+06 8.4e+06 701
LR999927.1 8.4e+06 8.5e+06 889
LR999927.1 8.5e+06 8.6e+06 5154
LR999927.1 8.6e+06 8.7e+06 815
LR999927.1 8.7e+06 8.8e+06 604
LR999927.1 8.8e+06 8.9e+06 215
LR999927.1 8.9e+06 9e+06 532
LR999927.1 9e+06 9.1e+06 5935
LR999927.1 9.1e+06 9.2e+06 2960
LR999927.1 9.2e+06 9.3e+06 2307
LR999927.1 9.3e+06 9.4e+06 882
LR999927.1 9.4e+06 9.5e+06 1107
LR999927.1 9.5e+06 9.6e+06 3882
LR999927.1 9.6e+06 9.7e+06 39
LR999927.1 9.7e+06 9.8e+06 
LR999927.1 9.8e+06 9.9e+06 707
LR999927.1 9.9e+06 1e+07 1414
LR999927.1 1e+07 1.01e+07 370
LR999927.1 1.01e+07 1.02e+07 219
LR999927.1 1.02e+07 1.03e+07 1061
LR999927.1 1.03e+07 1.04e+07 861
LR999927.1 1.04e+07 1.05e+07 596
LR999927.1 1.05e+07 1.06e+07 5198
