chrom begin end CDS_length
LR999924.1 1 2000000 833739
LR999924.1 2000001 4000000 869852
LR999924.1 4000001 6000000 1089561
LR999924.1 6000001 8000000 1088290
LR999924.1 8000001 10000000 1265351
LR999924.1 10000001 12000000 1121345
LR999924.1 12000001 14000000 859513
LR999924.1 14000001 16000000 1106189
LR999924.1 16000001 17040296 541663
chrom begin end CDS_length
LR999925.1 1 2000000 703992
LR999925.1 2000001 4000000 1004843
LR999925.1 4000001 6000000 1460652
LR999925.1 6000001 8000000 1143323
LR999925.1 8000001 10000000 968075
LR999925.1 10000001 12000000 1167395
LR999925.1 12000001 14000000 729397
LR999925.1 14000001 16000000 1482253
LR999925.1 16000001 16607008 151481
chrom begin end CDS_length
LR999926.1 1 2000000 1222948
LR999926.1 2000001 4000000 840519
LR999926.1 4000001 6000000 1162957
LR999926.1 6000001 8000000 1385541
LR999926.1 8000001 10000000 1629001
LR999926.1 10000001 12000000 1601309
LR999926.1 12000001 14000000 1071158
LR999926.1 14000001 16000000 213456
LR999926.1 16000001 16362069 163366
chrom begin end CDS_length
LR999927.1 1 2000000 942927
LR999927.1 2000001 4000000 912875
LR999927.1 4000001 6000000 845005
LR999927.1 6000001 8000000 723388
LR999927.1 8000001 10000000 793106
LR999927.1 10000001 12000000 494075
LR999927.1 12000001 14000000 136511
LR999927.1 14000001 16000000 1306421
LR999927.1 16000001 16090551 95019
chrom begin end CDS_length
LR999928.1 1 2000000 824176
LR999928.1 2000001 4000000 535181
LR999928.1 4000001 6000000 958872
LR999928.1 6000001 8000000 1739400
LR999928.1 8000001 10000000 1056864
LR999928.1 10000001 12000000 649725
LR999928.1 12000001 14000000 506953
LR999928.1 14000001 16000000 1321939
LR999928.1 16000001 16000791 
chrom begin end CDS_length
LR999929.1 1 2000000 842654
LR999929.1 2000001 4000000 626521
LR999929.1 4000001 6000000 953895
LR999929.1 6000001 8000000 788898
LR999929.1 8000001 10000000 1786611
LR999929.1 10000001 12000000 658369
LR999929.1 12000001 14000000 1449903
LR999929.1 14000001 15952094 864983
chrom begin end CDS_length
LR999930.1 1 2000000 525222
LR999930.1 2000001 4000000 972618
LR999930.1 4000001 6000000 919336
LR999930.1 6000001 8000000 1429171
LR999930.1 8000001 10000000 916915
LR999930.1 10000001 12000000 637901
LR999930.1 12000001 14000000 1172078
LR999930.1 14000001 15715213 554386
chrom begin end CDS_length
LR999931.1 1 2000000 1360230
LR999931.1 2000001 4000000 502257
LR999931.1 4000001 6000000 1118201
LR999931.1 6000001 8000000 1320960
LR999931.1 8000001 10000000 925825
LR999931.1 10000001 12000000 1713264
LR999931.1 12000001 14000000 492133
LR999931.1 14000001 15572524 557194
chrom begin end CDS_length
LR999932.1 1 2000000 848810
LR999932.1 2000001 4000000 1135022
