chrom begin end CDS_length
LR999947.1 1 100000 5009
LR999947.1 100001 200000 6986
LR999947.1 200001 300000 1868
LR999947.1 300001 400000 5833
LR999947.1 400001 500000 4934
LR999947.1 500001 600000 5194
LR999947.1 600001 700000 1817
LR999947.1 700001 800000 543
LR999947.1 800001 900000 5721
LR999947.1 900001 1000000 
LR999947.1 1000001 1100000 4407
LR999947.1 1100001 1200000 
LR999947.1 1200001 1300000 1389
LR999947.1 1300001 1400000 
LR999947.1 1400001 1500000 
LR999947.1 1500001 1600000 639
LR999947.1 1600001 1700000 
LR999947.1 1700001 1800000 
LR999947.1 1800001 1900000 4826
LR999947.1 1900001 2000000 
LR999947.1 2000001 2100000 3696
LR999947.1 2100001 2200000 3177
LR999947.1 2200001 2300000 2909
LR999947.1 2300001 2400000 4787
LR999947.1 2400001 2500000 363
LR999947.1 2500001 2600000 
LR999947.1 2600001 2700000 
LR999947.1 2700001 2800000 1638
LR999947.1 2800001 2900000 
LR999947.1 2900001 3000000 950
LR999947.1 3000001 3100000 3555
LR999947.1 3100001 3200000 2967
LR999947.1 3200001 3300000 2574
LR999947.1 3300001 3400000 2623
LR999947.1 3400001 3500000 322
LR999947.1 3500001 3600000 22
LR999947.1 3600001 3700000 738
LR999947.1 3700001 3800000 
LR999947.1 3800001 3900000 81
LR999947.1 3900001 4000000 
LR999947.1 4000001 4100000 
LR999947.1 4100001 4200000 5227
LR999947.1 4200001 4300000 293
LR999947.1 4300001 4400000 1442
LR999947.1 4400001 4500000 5541
LR999947.1 4500001 4600000 182
LR999947.1 4600001 4700000 1891
LR999947.1 4700001 4800000 921
LR999947.1 4800001 4900000 2640
LR999947.1 4900001 5000000 5801
LR999947.1 5000001 5100000 681
LR999947.1 5100001 5200000 871
LR999947.1 5200001 5300000 6532
LR999947.1 5300001 5400000 2756
LR999947.1 5400001 5500000 7401
LR999947.1 5500001 5600000 509
LR999947.1 5600001 5700000 
LR999947.1 5700001 5800000 5848
LR999947.1 5800001 5900000 2281
LR999947.1 5900001 6000000 3816
LR999947.1 6000001 6100000 15032
LR999947.1 6100001 6200000 2204
LR999947.1 6200001 6300000 3796
LR999947.1 6300001 6400000 
LR999947.1 6400001 6500000 
LR999947.1 6500001 6600000 760
LR999947.1 6600001 6700000 149
LR999947.1 6700001 6800000 3452
LR999947.1 6800001 6900000 3012
LR999947.1 6900001 7000000 3170
LR999947.1 7000001 7100000 1316
LR999947.1 7100001 7200000 1286
LR999947.1 7200001 7300000 
LR999947.1 7300001 7400000 993
LR999947.1 7400001 7500000 2874
LR999947.1 7500001 7600000 
LR999947.1 7600001 7700000 
LR999947.1 7700001 7800000 1164
LR999947.1 7800001 7900000 
LR999947.1 7900001 8000000 4435
LR999947.1 8000001 8100000 3845
LR999947.1 8100001 8200000 4069
LR999947.1 8200001 8300000 182
LR999947.1 8300001 8400000 3474
LR999947.1 8400001 8500000 4538
LR999947.1 8500001 8600000 2788
LR999947.1 8600001 8700000 4710
LR999947.1 8700001 8800000 6613
LR999947.1 8800001 8900000 
LR999947.1 8900001 9000000 939
LR999947.1 9000001 9100000 2579
LR999947.1 9100001 9200000 6019
LR999947.1 9200001 9300000 
LR999947.1 9300001 9400000 
LR999947.1 9400001 9500000 406
LR999947.1 9500001 9600000 923
LR999947.1 9600001 9700000 2116
LR999947.1 9700001 9800000 833
LR999947.1 9800001 9900000 1909
LR999947.1 9900001 10000000 6649
LR999947.1 10000001 10100000 
LR999947.1 10100001 10200000 2743
LR999947.1 10200001 10300000 677
LR999947.1 10300001 10400000 10
LR999947.1 10400001 10500000 
LR999947.1 10500001 10600000 
LR999947.1 10600001 10700000 5083
LR999947.1 10700001 10800000 2380
LR999947.1 10800001 10900000 2188
LR999947.1 10900001 11000000 925
LR999947.1 11000001 11100000 5871
LR999947.1 11100001 11200000 5195
LR999947.1 11200001 11300000 3105
LR999947.1 11300001 11400000 3929
LR999947.1 11400001 11500000 2347
LR999947.1 11500001 11600000 2335
LR999947.1 11600001 11700000 3495
LR999947.1 11700001 11704087 
