chrom begin end CDS_length
LR999924.1 1 100000 6807
LR999924.1 100001 200000 12634
LR999924.1 200001 300000 25794
LR999924.1 300001 400000 2683
LR999924.1 400001 500000 7343
LR999924.1 500001 600000 6706
LR999924.1 600001 700000 
LR999924.1 700001 800000 10256
LR999924.1 800001 900000 5638
LR999924.1 900001 1000000 2532
LR999924.1 1000001 1100000 2219
LR999924.1 1100001 1200000 
LR999924.1 1200001 1300000 974
LR999924.1 1300001 1400000 789
LR999924.1 1400001 1500000 879
LR999924.1 1500001 1600000 2840
LR999924.1 1600001 1700000 1455
LR999924.1 1700001 1800000 1184
LR999924.1 1800001 1900000 
LR999924.1 1900001 2000000 244
LR999924.1 2000001 2100000 4157
LR999924.1 2100001 2200000 
LR999924.1 2200001 2300000 5036
LR999924.1 2300001 2400000 3678
LR999924.1 2400001 2500000 
LR999924.1 2500001 2600000 2273
LR999924.1 2600001 2700000 3519
LR999924.1 2700001 2800000 676
LR999924.1 2800001 2900000 
LR999924.1 2900001 3000000 
LR999924.1 3000001 3100000 
LR999924.1 3100001 3200000 203
LR999924.1 3200001 3300000 3098
LR999924.1 3300001 3400000 4974
LR999924.1 3400001 3500000 
LR999924.1 3500001 3600000 543
LR999924.1 3600001 3700000 5748
LR999924.1 3700001 3800000 
LR999924.1 3800001 3900000 
LR999924.1 3900001 4000000 1957
LR999924.1 4000001 4100000 6022
LR999924.1 4100001 4200000 1946
LR999924.1 4200001 4300000 3811
LR999924.1 4300001 4400000 4510
LR999924.1 4400001 4500000 644
LR999924.1 4500001 4600000 7545
LR999924.1 4600001 4700000 5007
LR999924.1 4700001 4800000 2711
LR999924.1 4800001 4900000 2380
LR999924.1 4900001 5000000 
LR999924.1 5000001 5100000 2514
LR999924.1 5100001 5200000 10696
LR999924.1 5200001 5300000 8405
LR999924.1 5300001 5400000 214
LR999924.1 5400001 5500000 4716
LR999924.1 5500001 5600000 11815
LR999924.1 5600001 5700000 3182
LR999924.1 5700001 5800000 6562
LR999924.1 5800001 5900000 7866
LR999924.1 5900001 6000000 13510
LR999924.1 6000001 6100000 8352
LR999924.1 6100001 6200000 7677
LR999924.1 6200001 6300000 2533
LR999924.1 6300001 6400000 3041
LR999924.1 6400001 6500000 3483
LR999924.1 6500001 6600000 2967
LR999924.1 6600001 6700000 5493
LR999924.1 6700001 6800000 10708
LR999924.1 6800001 6900000 
LR999924.1 6900001 7000000 10339
LR999924.1 7000001 7100000 8264
LR999924.1 7100001 7200000 9263
LR999924.1 7200001 7300000 6246
LR999924.1 7300001 7400000 6938
LR999924.1 7400001 7500000 1164
LR999924.1 7500001 7600000 
LR999924.1 7600001 7700000 2274
LR999924.1 7700001 7800000 
LR999924.1 7800001 7900000 8761
LR999924.1 7900001 8000000 4988
LR999924.1 8000001 8100000 998
LR999924.1 8100001 8200000 9477
LR999924.1 8200001 8300000 15311
LR999924.1 8300001 8400000 15919
LR999924.1 8400001 8500000 7867
LR999924.1 8500001 8600000 19342
LR999924.1 8600001 8700000 9399
LR999924.1 8700001 8800000 5075
LR999924.1 8800001 8900000 3147
LR999924.1 8900001 9000000 479
LR999924.1 9000001 9100000 516
LR999924.1 9100001 9200000 
LR999924.1 9200001 9300000 1315
LR999924.1 9300001 9400000 9137
LR999924.1 9400001 9500000 5649
LR999924.1 9500001 9600000 
LR999924.1 9600001 9700000 478
LR999924.1 9700001 9800000 5722
LR999924.1 9800001 9900000 3085
LR999924.1 9900001 10000000 9642
LR999924.1 10000001 10100000 1592
LR999924.1 10100001 10200000 
LR999924.1 10200001 10300000 1164
LR999924.1 10300001 10400000 
LR999924.1 10400001 10500000 4119
LR999924.1 10500001 10600000 5304
LR999924.1 10600001 10700000 7525
LR999924.1 10700001 10800000 12649
LR999924.1 10800001 10900000 9435
LR999924.1 10900001 11000000 6905
LR999924.1 11000001 11100000 9418
LR999924.1 11100001 11200000 2466
LR999924.1 11200001 11300000 1953
LR999924.1 11300001 11400000 3042
LR999924.1 11400001 11500000 5084
LR999924.1 11500001 11600000 
LR999924.1 11600001 11700000 1509
LR999924.1 11700001 11800000 8932
LR999924.1 11800001 11900000 3153
LR999924.1 11900001 12000000 2431
LR999924.1 12000001 12100000 3004
LR999924.1 12100001 12200000 1200
LR999924.1 12200001 12300000 1054
LR999924.1 12300001 12400000 
LR999924.1 12400001 12500000 6018
LR999924.1 12500001 12600000 8228
LR999924.1 12600001 12700000 3635
LR999924.1 12700001 12800000 8392
LR999924.1 12800001 12900000 4119
LR999924.1 12900001 13000000 1995
LR999924.1 13000001 13100000 
LR999924.1 13100001 13200000 
LR999924.1 13200001 13300000 
LR999924.1 13300001 13400000 1869
LR999924.1 13400001 13500000 2402
LR999924.1 13500001 13600000 1100
LR999924.1 13600001 13700000 
LR999924.1 13700001 13800000 2624
LR999924.1 13800001 13900000 12980
LR999924.1 13900001 14000000 
LR999924.1 14000001 14100000 5859
LR999924.1 14100001 14200000 3372
LR999924.1 14200001 14300000 6898
LR999924.1 14300001 14400000 2489
LR999924.1 14400001 14500000 9997
LR999924.1 14500001 14600000 1317
LR999924.1 14600001 14700000 1693
LR999924.1 14700001 14800000 4264
LR999924.1 14800001 14900000 14591
LR999924.1 14900001 15000000 8665
LR999924.1 15000001 15100000 5273
LR999924.1 15100001 15200000 6391
LR999924.1 15200001 15300000 7479
LR999924.1 15300001 15400000 4303
LR999924.1 15400001 15500000 5852
LR999924.1 15500001 15600000 8762
LR999924.1 15600001 15700000 4302
LR999924.1 15700001 15800000 5375
LR999924.1 15800001 15900000 1682
LR999924.1 15900001 16000000 1195
LR999924.1 16000001 16100000 488
LR999924.1 16100001 16200000 
LR999924.1 16200001 16300000 4212
LR999924.1 16300001 16400000 924
LR999924.1 16400001 16500000 5113
LR999924.1 16500001 16600000 1794
LR999924.1 16600001 16700000 3036
LR999924.1 16700001 16800000 10366
LR999924.1 16800001 16900000 1480
LR999924.1 16900001 17000000 12360
LR999924.1 17000001 17040296 6275
