chrom begin end count_gene length_gene
LR999931.1 1 100000 2 2525
LR999931.1 100001 200000 1 626
LR999931.1 200001 300000 0 
LR999931.1 300001 400000 1 8260
LR999931.1 400001 500000 1 989
LR999931.1 500001 600000 2 4160
LR999931.1 600001 700000 2 1841
LR999931.1 700001 800000 6 26851
LR999931.1 800001 900000 4 29970
LR999931.1 900001 1000000 2 24471
LR999931.1 1000001 1100000 4 37703
LR999931.1 1100001 1200000 3 44343
LR999931.1 1200001 1300000 6 33448
LR999931.1 1300001 1400000 8 40723
LR999931.1 1400001 1500000 8 30086
LR999931.1 1500001 1600000 2 13382
LR999931.1 1600001 1700000 1 12620
LR999931.1 1700001 1800000 3 22283
LR999931.1 1800001 1900000 7 15551
LR999931.1 1900001 2000000 5 25269
LR999931.1 2000001 2100000 0 
LR999931.1 2100001 2200000 0 
LR999931.1 2200001 2300000 3 18523
LR999931.1 2300001 2400000 4 19500
LR999931.1 2400001 2500000 6 24503
LR999931.1 2500001 2600000 1 5151
LR999931.1 2600001 2700000 0 
LR999931.1 2700001 2800000 0 
LR999931.1 2800001 2900000 0 
LR999931.1 2900001 3000000 0 
LR999931.1 3000001 3100000 1 4117
LR999931.1 3100001 3200000 0 
LR999931.1 3200001 3300000 0 
LR999931.1 3300001 3400000 4 5790
LR999931.1 3400001 3500000 0 
LR999931.1 3500001 3600000 0 
LR999931.1 3600001 3700000 1 5989
LR999931.1 3700001 3800000 6 28144
LR999931.1 3800001 3900000 2 5130
LR999931.1 3900001 4000000 2 12744
LR999931.1 4000001 4100000 3 6501
LR999931.1 4100001 4200000 1 2584
LR999931.1 4200001 4300000 4 30431
LR999931.1 4300001 4400000 2 6573
LR999931.1 4400001 4500000 5 15771
LR999931.1 4500001 4600000 2 16916
LR999931.1 4600001 4700000 4 11659
LR999931.1 4700001 4800000 0 
LR999931.1 4800001 4900000 1 1124
LR999931.1 4900001 5000000 9 23328
LR999931.1 5000001 5100000 4 16290
LR999931.1 5100001 5200000 0 
LR999931.1 5200001 5300000 9 36227
LR999931.1 5300001 5400000 3 26120
LR999931.1 5400001 5500000 4 19073
LR999931.1 5500001 5600000 6 24879
LR999931.1 5600001 5700000 6 17472
LR999931.1 5700001 5800000 0 
LR999931.1 5800001 5900000 2 7101
LR999931.1 5900001 6000000 3 37045
LR999931.1 6000001 6100000 5 23888
LR999931.1 6100001 6200000 1 282
LR999931.1 6200001 6300000 0 
LR999931.1 6300001 6400000 0 
LR999931.1 6400001 6500000 5 36189
LR999931.1 6500001 6600000 7 16700
LR999931.1 6600001 6700000 13 41475
LR999931.1 6700001 6800000 0 
LR999931.1 6800001 6900000 2 2731
LR999931.1 6900001 7000000 2 11480
LR999931.1 7000001 7100000 3 14544
LR999931.1 7100001 7200000 11 29385
LR999931.1 7200001 7300000 10 35543
LR999931.1 7300001 7400000 11 33502
LR999931.1 7400001 7500000 0 
LR999931.1 7500001 7600000 9 28350
LR999931.1 7600001 7700000 9 25533
LR999931.1 7700001 7800000 3 28261
LR999931.1 7800001 7900000 5 5913
LR999931.1 7900001 8000000 1 3065
LR999931.1 8000001 8100000 1 4454
LR999931.1 8100001 8200000 4 11892
LR999931.1 8200001 8300000 2 4825
LR999931.1 8300001 8400000 7 15733
LR999931.1 8400001 8500000 8 12556
LR999931.1 8500001 8600000 1 7496
LR999931.1 8600001 8700000 0 
LR999931.1 8700001 8800000 4 11740
LR999931.1 8800001 8900000 1 9364
LR999931.1 8900001 9000000 0 
LR999931.1 9000001 9100000 2 2303
LR999931.1 9100001 9200000 7 23545
LR999931.1 9200001 9300000 8 25675
LR999931.1 9300001 9400000 0 
LR999931.1 9400001 9500000 5 13041
LR999931.1 9500001 9600000 13 36947
LR999931.1 9600001 9700000 0 
LR999931.1 9700001 9800000 8 25266
LR999931.1 9800001 9900000 6 25759
LR999931.1 9900001 10000000 0 
LR999931.1 10000001 10100000 3 7792
LR999931.1 10100001 10200000 9 32655
LR999931.1 10200001 10300000 4 4117
LR999931.1 10300001 10400000 2 2959
LR999931.1 10400001 10500000 5 15322
LR999931.1 10500001 10600000 9 35297
LR999931.1 10600001 10700000 6 35554
LR999931.1 10700001 10800000 6 24562
LR999931.1 10800001 10900000 9 51444
LR999931.1 10900001 11000000 2 13705
LR999931.1 11000001 11100000 7 10978
LR999931.1 11100001 11200000 1 2685
LR999931.1 11200001 11300000 7 17231
LR999931.1 11300001 11400000 6 20799
LR999931.1 11400001 11500000 8 13009
LR999931.1 11500001 11600000 1 2160
LR999931.1 11600001 11700000 14 45141
LR999931.1 11700001 11800000 7 30446
LR999931.1 11800001 11900000 5 27725
LR999931.1 11900001 12000000 8 24122
LR999931.1 12000001 12100000 2 8918
LR999931.1 12100001 12200000 6 16922
LR999931.1 12200001 12300000 4 15317
LR999931.1 12300001 12400000 4 22829
LR999931.1 12400001 12500000 0 
LR999931.1 12500001 12600000 0 
LR999931.1 12600001 12700000 0 
LR999931.1 12700001 12800000 2 4860
LR999931.1 12800001 12900000 2 4824
LR999931.1 12900001 13000000 2 8023
LR999931.1 13000001 13100000 0 
LR999931.1 13100001 13200000 6 17447
LR999931.1 13200001 13300000 4 22097
LR999931.1 13300001 13400000 0 
LR999931.1 13400001 13500000 0 
LR999931.1 13500001 13600000 1 446
LR999931.1 13600001 13700000 0 
LR999931.1 13700001 13800000 0 
LR999931.1 13800001 13900000 1 4110
LR999931.1 13900001 14000000 3 10171
LR999931.1 14000001 14100000 0 
LR999931.1 14100001 14200000 2 7931
LR999931.1 14200001 14300000 8 30884
LR999931.1 14300001 14400000 8 30123
LR999931.1 14400001 14500000 0 
LR999931.1 14500001 14600000 2 17283
LR999931.1 14600001 14700000 3 10560
LR999931.1 14700001 14800000 4 17772
LR999931.1 14800001 14900000 0 
LR999931.1 14900001 15000000 4 12351
LR999931.1 15000001 15100000 1 3295
LR999931.1 15100001 15200000 0 
LR999931.1 15200001 15300000 0 
