chrom begin end count_gene length_gene
LR999932.1 1 100000 8 51889
LR999932.1 100001 200000 2 5204
LR999932.1 200001 300000 4 19788
LR999932.1 300001 400000 2 19256
LR999932.1 400001 500000 1 4454
LR999932.1 500001 600000 0 
LR999932.1 600001 700000 0 
LR999932.1 700001 800000 0 
LR999932.1 800001 900000 0 
LR999932.1 900001 1000000 2 4512
LR999932.1 1000001 1100000 8 60104
LR999932.1 1100001 1200000 7 35905
LR999932.1 1200001 1300000 0 
LR999932.1 1300001 1400000 0 
LR999932.1 1400001 1500000 0 
LR999932.1 1500001 1600000 0 
LR999932.1 1600001 1700000 1 7122
LR999932.1 1700001 1800000 0 
LR999932.1 1800001 1900000 0 
LR999932.1 1900001 2000000 1 1992
LR999932.1 2000001 2100000 0 
LR999932.1 2100001 2200000 2 15587
LR999932.1 2200001 2300000 0 
LR999932.1 2300001 2400000 0 
LR999932.1 2400001 2500000 0 
LR999932.1 2500001 2600000 0 
LR999932.1 2600001 2700000 0 
LR999932.1 2700001 2800000 0 
LR999932.1 2800001 2900000 0 
LR999932.1 2900001 3000000 0 
LR999932.1 3000001 3100000 0 
LR999932.1 3100001 3200000 5 18317
LR999932.1 3200001 3300000 12 44291
LR999932.1 3300001 3400000 6 27164
LR999932.1 3400001 3500000 8 45993
LR999932.1 3500001 3600000 4 24918
LR999932.1 3600001 3700000 3 32234
LR999932.1 3700001 3800000 5 16875
LR999932.1 3800001 3900000 6 43816
LR999932.1 3900001 4000000 10 36866
LR999932.1 4000001 4100000 0 
LR999932.1 4100001 4200000 1 9433
LR999932.1 4200001 4300000 0 
LR999932.1 4300001 4400000 0 
LR999932.1 4400001 4500000 3 17283
LR999932.1 4500001 4600000 2 8494
LR999932.1 4600001 4700000 4 23839
LR999932.1 4700001 4800000 2 9576
LR999932.1 4800001 4900000 8 40229
LR999932.1 4900001 5000000 6 18525
LR999932.1 5000001 5100000 1 1940
LR999932.1 5100001 5200000 0 
LR999932.1 5200001 5300000 1 1612
LR999932.1 5300001 5400000 2 1447
LR999932.1 5400001 5500000 10 20079
LR999932.1 5500001 5600000 7 21815
LR999932.1 5600001 5700000 9 40879
LR999932.1 5700001 5800000 4 10951
LR999932.1 5800001 5900000 9 29951
LR999932.1 5900001 6000000 6 21524
LR999932.1 6000001 6100000 1 704
LR999932.1 6100001 6200000 4 9975
LR999932.1 6200001 6300000 3 19180
LR999932.1 6300001 6400000 4 16152
LR999932.1 6400001 6500000 3 17159
LR999932.1 6500001 6600000 6 23755
