chrom begin end count_gene length_gene
LR999955.1 1 100000 2 15589
LR999955.1 100001 200000 4 50041
LR999955.1 200001 300000 3 31541
LR999955.1 300001 400000 4 24815
LR999955.1 400001 500000 0 
LR999955.1 500001 600000 3 43572
LR999955.1 600001 700000 4 43490
LR999955.1 700001 800000 2 28735
LR999955.1 800001 900000 3 21350
LR999955.1 900001 1000000 4 31847
LR999955.1 1000001 1100000 0 
LR999955.1 1100001 1200000 2 56960
LR999955.1 1200001 1300000 2 10929
LR999955.1 1300001 1400000 4 36691
LR999955.1 1400001 1500000 3 38414
LR999955.1 1500001 1600000 5 29983
LR999955.1 1600001 1700000 5 40381
LR999955.1 1700001 1800000 3 16826
LR999955.1 1800001 1900000 7 38245
LR999955.1 1900001 2000000 2 13272
LR999955.1 2000001 2100000 5 44093
LR999955.1 2100001 2200000 3 22517
LR999955.1 2200001 2300000 4 19994
LR999955.1 2300001 2400000 2 2565
LR999955.1 2400001 2500000 5 16494
LR999955.1 2500001 2600000 2 37456
LR999955.1 2600001 2700000 4 40012
LR999955.1 2700001 2800000 7 67140
LR999955.1 2800001 2900000 1 13724
LR999955.1 2900001 3000000 1 29156
LR999955.1 3000001 3100000 3 15594
LR999955.1 3100001 3200000 1 20006
LR999955.1 3200001 3300000 0 
LR999955.1 3300001 3400000 2 13131
LR999955.1 3400001 3500000 4 47026
LR999955.1 3500001 3600000 3 12497
LR999955.1 3600001 3700000 4 13999
LR999955.1 3700001 3800000 4 33392
LR999955.1 3800001 3900000 3 43562
LR999955.1 3900001 4000000 3 10575
LR999955.1 4000001 4100000 5 20644
LR999955.1 4100001 4200000 5 31393
LR999955.1 4200001 4300000 3 45033
LR999955.1 4300001 4400000 4 17648
LR999955.1 4400001 4500000 3 19747
LR999955.1 4500001 4600000 4 30434
LR999955.1 4600001 4700000 1 7946
LR999955.1 4700001 4800000 2 19600
LR999955.1 4800001 4900000 4 16987
LR999955.1 4900001 5000000 0 
LR999955.1 5000001 5100000 0 
LR999955.1 5100001 5200000 3 27904
LR999955.1 5200001 5300000 1 10725
LR999955.1 5300001 5400000 5 19048
LR999955.1 5400001 5500000 4 42454
LR999955.1 5500001 5600000 1 4527
LR999955.1 5600001 5700000 7 64361
LR999955.1 5700001 5800000 1 7259
LR999955.1 5800001 5900000 2 82337
LR999955.1 5900001 6000000 0 
LR999955.1 6000001 6100000 0 
LR999955.1 6100001 6166334 0 
