Orthogroup	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
OG0000175	3	3	3	2	3	4	4	3	4
OG0000176	9	3	0	10	0	0	4	2	1
OG0000177	9	2	0	0	14	2	1	1	0
OG0000178	3	3	2	2	3	2	4	2	8
OG0000179	1	2	1	1	1	4	8	1	10
OG0000180	2	2	3	3	2	1	6	5	5
OG0000181	3	3	1	1	6	5	4	2	4
OG0000182	4	1	1	6	12	1	2	1	1
OG0000183	3	3	4	2	4	2	3	4	4
OG0000184	3	3	3	4	4	3	3	3	3
OG0000185	3	3	3	4	4	4	2	3	3
OG0000186	5	1	2	3	1	10	5	1	1
OG0000187	3	4	2	3	3	3	6	3	2
OG0000188	6	6	5	3	5	0	0	3	1
OG0000189	3	6	0	1	6	2	2	3	6
OG0000190	3	1	7	6	3	3	3	2	1
OG0000191	1	2	3	1	0	1	17	2	2
OG0000193	2	2	4	4	3	3	3	4	3
OG0000194	3	1	0	0	3	18	2	1	0
OG0000196	3	1	1	1	12	3	3	2	2
OG0000197	2	2	2	2	1	6	6	2	5
OG0000198	7	5	3	1	2	3	3	2	2
OG0000200	2	3	4	3	8	2	2	3	1
OG0000201	2	2	2	4	1	6	7	2	2
OG0000202	1	2	9	5	5	2	2	2	0
OG0000203	0	2	7	5	1	3	4	5	1
OG0000205	7	2	1	3	1	4	5	2	2
OG0000206	1	1	10	7	3	2	1	1	1
OG0000207	1	2	0	4	11	5	2	1	1
OG0000208	2	3	0	6	3	3	5	1	4
OG0000209	3	3	7	2	2	3	2	3	2
OG0000210	3	2	2	1	3	5	5	3	3
OG0000212	1	3	3	3	5	3	4	2	3
OG0000213	3	3	2	3	3	3	3	4	3
OG0000214	1	1	11	8	1	1	1	1	2
OG0000215	3	2	3	4	1	5	3	3	3
OG0000216	3	3	1	2	1	10	3	2	2
OG0000217	1	4	2	1	1	4	4	7	3
OG0000218	7	3	1	1	5	2	3	4	1
OG0000219	3	3	2	3	4	5	3	3	1
OG0000220	2	4	6	3	0	4	2	3	3
OG0000221	2	2	2	1	7	5	1	3	4
OG0000222	7	1	2	1	5	3	2	3	2
OG0000224	3	4	6	3	8	1	0	1	0
OG0000228	7	4	0	1	0	3	3	6	2
OG0000229	2	4	8	2	2	2	2	2	2
OG0000230	2	5	2	3	2	3	3	3	3
OG0000232	1	2	1	16	1	1	1	2	1
OG0000233	2	2	1	1	1	6	7	2	4
OG0000234	2	2	4	6	2	1	2	4	3
OG0000235	2	2	2	2	2	4	6	2	4
OG0000236	3	2	2	4	4	3	2	2	4
OG0000237	2	3	5	2	3	3	3	2	3
OG0000238	2	2	2	2	2	4	7	2	3
OG0000239	1	3	2	2	2	5	3	3	5
OG0000245	6	1	0	2	1	3	3	3	6
OG0000246	12	3	2	2	2	1	1	1	1
OG0000247	2	3	5	3	1	3	3	2	3
OG0000248	2	4	3	4	2	2	3	2	3
OG0000249	3	1	2	2	7	3	3	2	2
OG0000250	3	4	1	2	2	3	6	2	2
OG0000252	10	4	2	3	0	1	4	1	0
OG0000254	1	3	6	2	4	1	1	4	3
OG0000255	6	2	1	1	9	3	1	1	1
OG0000256	1	0	3	1	4	10	2	1	3
OG0000257	2	3	7	2	1	2	2	3	3
OG0000258	3	3	3	3	5	1	1	5	1
OG0000259	5	2	4	5	1	2	2	2	2
OG0000260	5	2	4	2	5	2	1	1	3
OG0000262	1	2	4	7	4	3	0	2	2
OG0000263	1	1	1	2	0	8	5	6	1
OG0000264	2	2	2	3	2	4	2	3	5
OG0000265	1	2	1	18	2	0	0	1	0
OG0000271	3	3	1	1	2	4	5	2	3
OG0000272	8	2	1	1	3	2	3	2	2
OG0000273	2	2	2	3	2	4	4	2	3
OG0000274	3	2	1	2	4	2	2	5	3
OG0000276	1	2	2	1	2	2	12	1	1
OG0000277	3	2	1	3	2	2	4	4	3
OG0000279	3	2	1	3	4	2	3	2	4
OG0000281	3	2	2	3	2	4	3	2	3
OG0000283	4	3	2	1	4	3	3	1	3
OG0000284	1	2	3	4	3	3	1	3	4
OG0000285	4	2	2	4	3	2	2	3	2
OG0000286	2	2	7	2	4	2	1	2	2
OG0000287	2	3	2	1	4	4	4	2	2
OG0000289	3	3	1	2	3	3	3	4	2
OG0000290	2	1	5	5	2	2	2	3	2
OG0000291	1	1	1	2	1	6	4	1	7
OG0000292	2	3	1	4	5	1	1	4	3
OG0000293	2	2	3	3	2	3	3	3	3
OG0000294	3	1	2	2	5	4	2	2	3
OG0000295	3	5	2	2	2	3	2	3	2
OG0000296	2	3	2	1	2	4	3	2	5
OG0000298	0	2	0	0	15	0	0	7	0
OG0000303	3	5	1	1	2	2	3	2	4
OG0000304	5	2	1	6	1	1	3	3	1
OG0000305	4	2	3	5	1	2	2	1	3
OG0000306	2	2	4	4	3	2	2	2	2
OG0000307	4	2	3	3	2	4	2	2	1
OG0000308	3	2	4	2	2	2	3	2	3
OG0000309	1	2	4	1	3	2	3	4	3
OG0000310	3	2	2	2	2	3	3	2	4
OG0000311	4	2	1	2	3	2	3	1	5
OG0000312	3	3	3	2	1	3	2	3	3
OG0000313	2	1	3	2	2	5	2	3	3
OG0000314	4	1	1	1	1	4	7	2	2
OG0000315	2	2	3	4	5	2	2	1	2
OG0000316	2	4	1	0	4	3	5	3	1
OG0000317	3	2	3	3	3	2	2	3	2
OG0000318	1	1	7	6	4	1	1	1	1
OG0000319	2	4	1	2	4	4	2	2	2
OG0000320	2	2	5	4	2	2	2	2	2
OG0000321	3	3	3	2	2	2	2	4	2
OG0000322	1	0	2	0	18	0	0	2	0
OG0000323	1	2	3	3	2	5	2	3	2
OG0000324	2	4	2	2	1	2	2	3	5
OG0000325	1	1	0	1	1	6	7	1	5
OG0000326	4	7	1	1	2	2	2	2	2
OG0000327	1	1	2	3	5	2	2	5	2
OG0000328	2	1	1	3	7	2	2	2	3
OG0000329	3	6	1	3	3	1	0	2	4
OG0000330	3	3	1	1	3	1	4	2	5
OG0000331	2	3	2	3	2	2	3	3	3
OG0000333	3	2	4	2	2	2	2	3	3
OG0000335	2	3	2	3	1	2	2	2	6
OG0000336	1	1	3	2	6	4	4	1	1
OG0000337	3	3	2	2	2	2	3	3	3
OG0000341	5	2	0	3	2	2	3	2	3
OG0000345	1	4	2	2	1	3	5	2	2
OG0000346	1	1	1	1	1	5	8	1	3
OG0000347	1	1	2	1	1	4	4	1	7
OG0000348	18	1	0	0	2	0	0	1	0
OG0000349	2	2	1	3	2	1	1	3	7
OG0000350	9	3	0	0	0	2	1	6	1
OG0000351	1	2	1	2	2	3	6	2	3
OG0000352	2	1	3	2	2	3	3	3	3
OG0000353	1	1	1	1	1	3	5	1	8
OG0000354	1	3	3	3	2	2	2	3	3
OG0000355	4	2	2	1	5	2	3	1	2
OG0000356	3	2	4	3	2	2	2	3	1
OG0000357	2	4	0	2	11	1	0	2	0
OG0000359	3	4	3	1	3	2	3	1	2
OG0000360	3	3	2	2	3	3	1	2	3
OG0000361	1	3	2	4	7	2	1	1	1
OG0000362	3	3	2	2	3	3	2	2	2
OG0000363	4	3	3	6	1	2	1	1	1
OG0000364	3	2	2	2	2	4	2	3	2
OG0000365	1	3	7	2	2	2	1	1	3
OG0000366	2	2	1	1	3	8	3	1	1
OG0000367	2	2	2	4	4	2	2	2	2
OG0000368	1	2	0	1	6	4	2	2	4
OG0000369	2	2	2	2	4	2	2	3	3
OG0000371	0	4	1	1	6	4	1	3	2
OG0000375	2	1	4	3	3	2	2	2	2
OG0000376	2	3	2	2	3	3	2	2	2
OG0000377	3	3	2	2	2	2	2	3	2
OG0000378	4	2	1	2	1	6	3	1	1
OG0000379	4	2	2	2	3	2	2	2	2
OG0000380	3	1	2	2	6	2	2	1	2
OG0000381	2	2	3	3	2	2	2	3	2
OG0000382	3	2	6	3	3	1	1	1	1
OG0000383	3	2	2	3	2	2	2	2	3
OG0000384	2	3	4	2	3	2	1	2	2
OG0000385	4	1	2	1	4	3	2	2	2
OG0000386	2	6	0	1	5	2	3	1	1
OG0000387	1	2	1	1	12	1	1	1	1
OG0000388	1	2	6	2	2	2	2	2	2
OG0000389	2	4	2	3	4	2	0	2	2
OG0000390	1	1	2	1	1	1	3	2	9
OG0000391	2	2	4	3	2	3	2	1	2
OG0000392	2	2	3	2	5	2	2	1	2
OG0000393	2	1	0	1	1	6	2	7	1
OG0000394	3	0	0	7	1	0	9	1	0
OG0000395	3	2	3	2	2	3	2	2	2
OG0000397	4	2	0	1	1	4	5	2	2
OG0000398	1	3	3	2	2	2	1	1	6
OG0000399	2	1	5	2	2	2	4	1	2
OG0000400	1	2	2	2	1	3	3	4	3
OG0000401	4	2	0	1	5	2	2	4	1
OG0000402	2	2	2	2	4	2	3	2	2
OG0000403	5	4	3	3	1	1	1	2	1
OG0000404	3	3	2	3	2	2	2	1	3
OG0000405	3	3	2	4	2	2	2	1	2
OG0000406	1	1	2	1	1	7	5	2	1
OG0000407	4	2	3	2	2	2	3	1	2
OG0000408	1	1	2	1	8	2	1	2	3
OG0000410	0	2	1	5	5	4	2	1	1
OG0000414	3	1	2	1	3	1	1	7	1
OG0000415	2	3	2	2	2	2	2	2	3
OG0000416	3	3	1	2	5	1	1	3	1
OG0000417	2	2	2	2	2	5	2	2	1
OG0000418	1	2	3	2	2	3	3	3	1
OG0000419	3	2	4	2	2	1	1	3	2
OG0000423	2	1	4	2	2	3	2	2	2
OG0000424	2	4	2	2	2	2	2	2	2
OG0000425	5	2	1	1	2	3	1	1	4
OG0000426	1	1	0	1	6	4	3	4	0
OG0000427	2	3	3	2	2	2	2	2	2
OG0000428	2	2	3	2	1	2	4	2	2
OG0000429	2	5	1	3	2	4	1	1	1
OG0000430	2	2	2	0	3	2	4	2	3
OG0000431	1	1	5	3	4	1	1	2	2
OG0000432	1	1	2	1	1	4	6	1	3
OG0000433	2	1	3	1	1	1	3	4	4
OG0000434	2	2	2	2	1	2	2	4	3
OG0000435	2	2	2	4	1	2	2	2	3
OG0000436	2	2	2	2	3	2	1	2	4
OG0000437	1	4	2	3	2	1	2	3	2
OG0000438	2	1	2	2	1	1	2	4	5
OG0000439	1	2	2	2	2	2	1	3	5
OG0000440	2	3	2	2	3	2	2	2	2
OG0000441	2	2	1	2	2	3	3	2	3
OG0000442	2	3	1	2	3	2	2	3	2
OG0000443	2	3	2	2	3	2	1	3	2
OG0000445	2	2	3	2	2	2	3	2	2
OG0000446	2	2	2	2	2	3	1	5	1
OG0000447	5	1	3	2	4	1	1	2	1
OG0000448	2	1	3	1	3	1	2	3	4
OG0000449	1	2	5	1	3	1	1	4	2
OG0000451	1	1	3	2	4	2	3	2	2
OG0000452	2	2	1	1	1	1	1	9	2
OG0000453	1	4	2	4	1	2	3	2	1
OG0000454	4	2	5	1	1	1	1	4	1
OG0000455	1	1	0	1	1	1	12	1	2
OG0000456	2	2	1	2	1	3	5	2	2
OG0000457	2	2	4	3	3	2	1	1	2
OG0000458	4	1	2	1	2	1	3	4	2
OG0000460	1	2	1	0	1	4	7	1	3
OG0000461	1	2	2	1	3	4	2	3	2
OG0000462	2	1	3	3	4	2	1	3	1
OG0000463	2	2	2	1	4	1	5	2	1
OG0000464	3	3	1	3	2	2	2	2	2
OG0000465	2	2	2	2	3	2	3	1	3
OG0000466	1	0	0	18	0	0	0	1	0
OG0000467	2	2	2	2	3	2	4	1	2
OG0000468	3	5	1	0	1	2	3	2	3
OG0000469	1	2	2	2	2	2	4	2	3
OG0000470	4	2	2	2	4	2	1	2	1
OG0000471	4	3	1	1	4	1	2	3	1
OG0000476	1	2	4	3	2	3	1	1	2
OG0000478	2	4	3	2	1	2	2	1	2
OG0000479	1	1	1	1	1	1	7	1	5
OG0000480	2	3	3	2	3	2	1	2	1
OG0000481	1	2	2	3	3	2	2	2	2
OG0000482	2	2	2	1	3	2	1	2	4
OG0000485	2	2	1	2	1	6	2	2	1
OG0000487	2	2	0	4	3	3	2	1	2
OG0000488	2	3	1	2	3	1	3	2	2
OG0000489	3	2	2	2	2	2	1	3	2
OG0000490	1	2	6	2	2	1	1	3	1
OG0000491	3	2	1	3	2	2	2	2	2
OG0000492	2	2	3	2	3	2	2	2	1
OG0000493	2	2	2	1	4	2	1	3	2
OG0000494	2	2	1	4	1	5	2	1	1
OG0000495	2	2	2	2	2	2	2	3	2
OG0000496	2	2	2	2	2	2	2	2	3
OG0000497	2	3	2	2	2	2	1	3	2
OG0000499	1	3	4	4	2	1	1	2	1
OG0000501	5	3	1	1	3	2	1	1	2
OG0000502	2	3	2	2	2	2	2	2	2
OG0000503	3	2	3	2	2	2	2	1	2
OG0000504	1	1	1	1	1	2	5	1	6
OG0000506	2	3	3	1	1	3	2	1	3
OG0000507	5	2	1	1	3	2	2	1	2
OG0000508	1	2	3	1	3	2	3	2	2
OG0000509	2	4	1	1	3	2	2	2	2
OG0000510	1	1	2	1	2	1	1	3	7
OG0000511	1	2	6	2	1	2	2	1	2
OG0000512	1	1	1	1	3	2	3	2	5
OG0000513	3	2	2	2	2	3	2	1	2
OG0000514	3	2	3	2	3	1	1	3	1
OG0000515	3	2	2	3	2	2	2	1	2
OG0000516	2	1	3	2	2	2	2	3	2
OG0000517	2	3	3	1	5	0	1	3	1
OG0000518	3	6	2	2	1	1	2	1	1
OG0000519	1	5	1	2	3	3	2	1	1
OG0000520	2	2	3	2	2	2	2	2	2
OG0000521	4	2	1	1	4	1	2	3	1
OG0000522	2	2	3	2	2	2	2	2	2
OG0000523	3	1	1	1	1	1	6	2	3
OG0000524	3	1	6	1	3	1	1	2	1
OG0000525	1	2	3	3	6	1	1	1	1
OG0000526	2	1	3	6	3	1	1	1	1
OG0000527	1	2	3	2	2	1	4	3	1
OG0000528	1	1	0	0	4	6	5	1	1
OG0000529	2	2	3	2	2	2	2	2	2
OG0000530	3	2	3	2	2	2	2	1	2
OG0000531	1	2	2	4	1	1	2	3	3
OG0000532	1	2	4	2	3	1	1	2	3
OG0000533	1	1	0	1	1	4	2	7	2
OG0000535	2	1	2	2	2	1	5	2	2
OG0000536	3	2	4	2	3	2	1	1	1
OG0000537	3	2	3	2	3	1	1	2	2
OG0000538	2	2	2	2	2	2	2	2	3
OG0000539	1	1	4	4	4	2	1	1	1
OG0000540	0	2	0	0	2	5	0	10	0
OG0000542	0	1	1	1	6	2	3	3	2
OG0000544	2	2	2	1	2	1	6	1	1
OG0000546	2	3	0	1	2	2	2	3	3
OG0000547	3	2	2	2	3	3	1	1	1
OG0000548	2	1	2	2	5	1	1	3	1
OG0000550	3	3	2	2	1	1	1	4	1
OG0000551	1	3	2	1	2	2	2	2	3
OG0000552	1	6	2	2	6	0	0	1	0
OG0000553	2	1	3	2	5	1	1	1	2
OG0000554	2	1	2	1	4	2	1	4	1
OG0000555	2	1	3	1	6	1	1	2	1
OG0000556	2	3	3	1	3	1	1	2	2
OG0000557	1	1	2	7	2	1	1	1	2
OG0000558	2	2	1	2	3	2	2	2	2
OG0000559	1	1	1	1	1	4	4	1	4
OG0000560	1	1	1	1	5	1	5	1	2
OG0000561	2	1	1	1	3	4	1	2	3
OG0000562	2	2	3	2	1	2	2	2	2
OG0000563	2	1	5	3	2	1	1	2	1
OG0000564	3	1	1	1	5	2	2	2	1
OG0000566	2	2	2	2	1	2	2	2	3
OG0000568	2	2	2	2	3	2	1	3	1
OG0000569	2	2	2	2	2	2	2	2	2
OG0000571	1	1	1	1	7	1	2	2	2
OG0000572	1	3	2	2	4	1	1	3	1
OG0000573	2	2	4	2	2	2	2	1	1
OG0000574	2	1	2	2	2	3	2	2	2
OG0000575	2	2	2	2	2	2	2	2	2
OG0000576	2	2	2	2	2	2	2	2	2
OG0000578	2	1	3	1	4	1	1	4	1
OG0000579	2	2	2	3	2	1	1	1	4
OG0000580	3	2	3	2	3	1	1	2	1
OG0000581	1	1	1	1	1	1	6	1	5
OG0000582	2	1	0	1	4	2	3	2	3
OG0000583	2	2	2	2	2	2	2	2	2
OG0000584	5	1	2	2	0	1	1	5	1
OG0000585	2	2	1	2	2	3	1	1	4
OG0000586	1	2	3	2	2	2	2	1	3
OG0000588	2	2	2	2	2	3	2	1	2
OG0000589	1	1	1	1	1	3	5	1	4
OG0000591	2	2	3	2	1	2	2	2	2
OG0000592	2	2	2	2	2	2	2	2	2
OG0000594	2	2	3	3	2	1	2	2	1
OG0000595	3	10	0	3	0	0	0	1	1
OG0000596	2	2	1	1	2	3	1	1	5
OG0000597	3	2	1	1	1	2	2	5	1
OG0000599	2	2	2	2	2	2	2	2	2
OG0000600	2	2	2	1	1	3	2	3	2
OG0000602	2	2	3	2	1	3	1	2	2
OG0000603	2	1	3	2	1	1	1	4	3
OG0000604	1	2	1	2	2	3	2	2	3
OG0000605	1	3	3	3	2	1	1	3	1
OG0000606	2	2	2	2	2	2	2	2	2
OG0000607	2	2	2	2	2	2	2	2	2
OG0000608	2	3	2	2	2	2	2	1	2
OG0000609	2	2	1	1	2	3	2	2	3
OG0000610	1	1	3	3	4	2	1	1	2
OG0000611	2	2	3	4	1	2	2	1	1
OG0000612	2	2	2	2	2	1	1	5	1
OG0000613	2	1	2	2	4	1	1	3	2
OG0000614	2	2	2	2	2	2	2	2	2
OG0000615	1	2	2	2	3	1	1	1	5
OG0000616	3	3	1	1	3	2	2	1	2
OG0000618	4	1	1	1	1	2	6	1	1
OG0000619	2	2	2	3	3	0	1	4	1
OG0000620	2	3	1	2	2	2	2	2	2
OG0000622	0	3	3	10	1	0	0	1	0
OG0000625	0	0	0	0	1	1	14	1	1
OG0000627	2	3	1	1	3	1	3	2	1
OG0000629	1	1	2	1	5	2	2	1	2
OG0000631	1	3	3	3	2	1	0	2	2
OG0000632	2	3	3	1	2	1	1	3	1
OG0000633	3	2	2	2	3	1	1	2	1
OG0000634	2	2	3	3	1	2	2	1	1
OG0000635	1	1	2	4	2	1	2	2	2
OG0000636	2	2	1	2	2	2	2	3	1
OG0000637	2	1	1	1	2	3	3	1	3
OG0000638	3	2	2	2	5	1	1	1	0
OG0000639	2	1	2	2	2	2	4	1	1
OG0000640	2	2	1	1	2	2	3	2	2
OG0000641	1	4	1	1	1	2	2	2	3
OG0000642	1	1	4	1	2	2	2	2	2
OG0000643	1	1	2	1	2	1	3	2	4
OG0000644	2	2	3	2	2	1	1	3	1
OG0000645	2	2	1	2	2	2	2	2	2
OG0000646	4	2	0	0	5	0	0	5	1
OG0000647	2	2	1	1	1	2	3	1	4
OG0000648	2	2	1	2	1	2	3	1	3
OG0000649	2	2	2	1	2	2	2	2	2
OG0000650	1	2	2	2	2	2	2	2	2
OG0000651	1	2	4	2	1	2	2	2	1
OG0000652	1	1	1	1	3	3	2	3	2
OG0000653	1	3	1	1	1	4	1	2	3
OG0000654	2	2	1	2	2	2	2	2	2
OG0000655	2	4	2	2	2	2	1	1	1
OG0000656	1	2	1	2	2	2	3	2	2
OG0000657	2	2	2	2	0	2	3	2	2
OG0000658	1	1	1	1	1	4	4	1	3
OG0000659	4	2	3	1	2	1	1	2	1
OG0000660	2	0	2	1	7	2	2	1	0
OG0000661	1	2	1	1	2	3	1	4	2
OG0000662	3	2	3	1	1	1	1	4	1
OG0000663	2	2	2	2	1	2	2	2	2
OG0000664	4	2	2	2	3	1	1	1	1
OG0000666	1	1	2	1	2	4	3	1	2
OG0000667	2	1	1	1	3	2	3	1	3
OG0000668	1	2	1	2	1	4	2	2	2
OG0000669	1	4	3	2	2	1	1	2	1
OG0000670	2	2	2	1	2	2	2	2	2
OG0000672	3	1	1	1	3	2	4	1	1
OG0000673	2	2	3	2	0	2	2	2	2
OG0000674	2	1	2	1	4	2	2	1	2
OG0000675	2	2	2	1	2	2	2	2	2
OG0000676	1	2	2	3	2	1	1	3	2
OG0000677	1	1	2	1	2	1	5	2	2
OG0000678	1	1	1	1	2	1	1	1	8
OG0000679	2	2	0	2	2	2	3	3	1
OG0000680	1	1	2	1	2	1	4	2	3
OG0000681	1	1	4	2	4	1	1	2	1
OG0000682	1	2	2	2	2	2	2	2	2
OG0000683	4	1	3	4	1	1	1	1	1
OG0000684	1	4	1	4	1	1	1	2	2
OG0000685	2	2	0	1	2	3	5	1	1
OG0000686	3	2	2	1	3	2	1	2	1
OG0000687	2	2	2	2	2	1	3	1	2
OG0000688	1	1	1	1	1	1	2	1	8
OG0000689	1	1	2	3	4	1	1	3	1
OG0000690	2	2	1	1	2	2	3	2	2
OG0000691	2	2	0	3	1	1	3	2	3
OG0000692	2	2	3	2	1	2	3	1	1
OG0000693	1	2	0	3	2	3	2	2	2
OG0000694	2	2	1	2	2	2	2	2	2
OG0000695	1	2	1	4	4	1	0	2	2
OG0000696	1	0	1	2	1	7	1	1	3
OG0000697	5	1	2	2	2	1	1	1	2
OG0000698	2	2	3	2	2	1	2	2	1
OG0000699	2	1	2	1	3	2	2	2	2
OG0000700	2	2	1	0	2	1	3	2	4
OG0000701	1	1	3	3	2	2	2	2	1
OG0000702	2	1	1	1	4	3	1	2	2
OG0000703	1	2	2	1	3	1	2	2	3
OG0000704	1	2	1	2	2	3	2	2	2
OG0000706	2	3	2	1	2	1	1	2	3
OG0000707	1	1	1	2	1	1	7	1	2
OG0000708	3	1	2	3	2	2	1	2	1
OG0000710	2	3	2	1	2	1	2	2	2
OG0000711	2	2	3	2	2	1	2	2	1
OG0000712	1	1	4	2	5	1	1	1	1
OG0000714	0	1	3	1	2	1	5	1	3
