LR999929.1 1085364 1095139 ID=Vcard_DToL04071-RA;Parent=Vcard_DToL04071;Name=Vcard_DToL04071-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-11.632-mRNA-1;_AED=0.36;_QI=0|0|0|0.25|1|1|4|0|414;_eAED=0.39;_merge_warning=1;score=3.455,3.455;target_length=1245,8976047;
LR999929.1 1796669 1807743 ID=Vcard_DToL04087-RA;Parent=Vcard_DToL04087;Name=Vcard_DToL04087-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-18.960-mRNA-1;_AED=0.23;_QI=0|0|0|0.75|1|1|12|0|468;_eAED=0.30;_merge_warning=1;score=74.424,74.424;target_length=1407,8976047;
LR999929.1 1811103 1811626 ID=Vcard_DToL04088-RA;Parent=Vcard_DToL04088;Name=Vcard_DToL04088-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-18.151-mRNA-1;_AED=0.49;_QI=0|0|0|0.5|1|1|2|0|149;_eAED=0.49;_merge_warning=1;score=-15.334,-15.334;target_length=450,8976047;
LR999929.1 2133735 2134796 ID=Vcard_DToL04092-RA;Parent=Vcard_DToL04092;Name=Vcard_DToL04092-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-21.318-mRNA-1;_AED=0.00;_QI=0|-1|0|1|-1|1|1|0|353;_eAED=0.00;score=1.231,1.231;target_length=1062,8976047;
LR999929.1 2565676 2567892 ID=Vcard_DToL04100-RA;Parent=Vcard_DToL04100;Name=Vcard_DToL04100-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-25.606-mRNA-1;_AED=0.44;_QI=0|-1|0|1|-1|1|1|0|738;_eAED=0.44;score=56.271,56.271;target_length=2217,8976047;
LR999929.1 2770022 2775258 ID=Vcard_DToL04105-RA;Parent=Vcard_DToL04105;Name=Vcard_DToL04105-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-27.482-mRNA-1;_AED=0.43;_QI=0|0|0|0.5|1|1|2|0|250;_eAED=0.43;score=-57.069,-57.069;target_length=753,8976047;
LR999929.1 2933039 2934661 ID=Vcard_DToL04113-RA;Parent=Vcard_DToL04113;Name=Vcard_DToL04113-RA;Alias=maker-LR999929.1-pred_gff_repeatmasker-gene-29.305-mRNA-1;_AED=0.83;_QI=0|-1|0|1|-1|0|1|0|541;_eAED=0.83;score=1348,1348;
LR999929.1 5788870 5793871 ID=Vcard_DToL04227-RA;Parent=Vcard_DToL04227;Name=Vcard_DToL04227-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-58.551-mRNA-1;_AED=0.70;_QI=0|0|0|0.25|1|1|4|0|189;_eAED=0.70;_merge_warning=1;score=15.157,15.157;target_length=570,8976047;
LR999929.1 5823530 5828700 ID=Vcard_DToL04232-RA;Parent=Vcard_DToL04232;Name=Vcard_DToL04232-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-58.179-mRNA-1;_AED=0.45;_QI=0|0|0|0.33|1|1|3|0|781;_eAED=0.45;score=0.784999999999997,0.784999999999997;target_length=2346,8976047;
LR999929.1 6397996 6400172 ID=Vcard_DToL04260-RA;Parent=Vcard_DToL04260;Name=Vcard_DToL04260-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-64.656-mRNA-1;_AED=0.21;_QI=0|0|0|0.5|1|1|2|0|282;_eAED=0.22;_merge_warning=1;score=-31.567,-31.567;target_length=849,8976047;
LR999929.1 7540633 7541310 ID=Vcard_DToL04303-RA;Parent=Vcard_DToL04303;Name=Vcard_DToL04303-RA;Alias=maker-LR999929.1-exonerate_protein2genome-gene-75.6-mRNA-1;_AED=0.14;_QI=0|-1|0|1|-1|0|1|0|225;_eAED=0.14;
LR999929.1 7702362 7704552 ID=Vcard_DToL04307-RA;Parent=Vcard_DToL04307;Name=Vcard_DToL04307-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-77.34-mRNA-1;_AED=0.24;_QI=0|0|0|0.5|1|1|2|0|121;_eAED=0.24;_merge_warning=1;score=-7.795,-7.795;target_length=366,8976047;
LR999929.1 8159751 8167230 ID=Vcard_DToL04327-RA;Parent=Vcard_DToL04327;Name=Vcard_DToL04327-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-81.537-mRNA-1;_AED=0.30;_QI=0|0|0|0.54|1|1|11|0|639;_eAED=0.35;_merge_warning=1;score=106.331,106.331;target_length=1920,8976047;
LR999929.1 8170073 8175370 ID=Vcard_DToL04328-RA;Parent=Vcard_DToL04328;Name=Vcard_DToL04328-RA;Alias=maker-LR999929.1-pred_gff_snap_masked-gene-81.653-mRNA-1;_AED=0.58;_QI=0|0|0|0.44|1|1|9|0|286;_eAED=0.58;_merge_warning=1;score=30.389,30.389;target_length=861,8976047;
