	chrom	begin	end	count_rpt	length_rpt	count_SINE	length_SINE	count_DNA	length_DNA	count_TcM	length_TcM	count_LINE	length_LINE	count_LTR	length_LTR	count_nonLTR	length_nonLTR	count_simple	length_simple	count_gene	length_gene	count_gene_ex	length_gene_ex
0	LR999950.1	1.0	100000.0	144	42996	7	1480	10	3566	2.0	1900.0	11	5143	17.0	5060.0	26	14278	25	5184	3	2304.0	1	1442.0
1	LR999950.1	100001.0	200000.0	104	11313	9	1450	9	997	0.0	0.0	5	716	0.0	0.0	15	3786	42	1761	4	15323.0	0	0.0
2	LR999950.1	200001.0	300000.0	129	23131	17	2778	7	523	0.0	0.0	15	7682	2.0	176.0	24	7668	28	1107	4	43021.0	1	7159.0
3	LR999950.1	300001.0	400000.0	139	27847	27	4752	11	1872	0.0	0.0	11	1278	3.0	3830.0	16	10227	18	787	0	0.0	0	0.0
4	LR999950.1	400001.0	500000.0	162	18189	35	5093	9	1326	1.0	627.0	9	1415	3.0	273.0	28	4393	23	806	0	0.0	0	0.0
5	LR999950.1	500001.0	600000.0	142	17435	29	4800	5	593	1.0	210.0	8	748	2.0	153.0	29	5570	32	1471	3	15251.0	0	0.0
6	LR999950.1	600001.0	700000.0	231	28449	51	8424	17	1288	0.0	0.0	5	798	4.0	314.0	39	7528	26	1007	2	20942.0	0	0.0
7	LR999950.1	700001.0	800000.0	209	24227	50	9071	12	925	1.0	63.0	7	1347	4.0	491.0	22	4269	38	1443	2	26636.0	0	0.0
8	LR999950.1	800001.0	900000.0	222	36535	51	7824	14	1995	0.0	0.0	13	2668	2.0	81.0	29	11475	30	1303	4	42779.0	0	0.0
9	LR999950.1	900001.0	1000000.0	211	26582	29	5665	18	1732	1.0	83.0	12	2902	5.0	299.0	23	6349	28	1172	1	20874.0	0	0.0
10	LR999950.1	1000000.0	1100000.0	223	28610	39	8059	24	3743	3.0	547.0	10	1679	6.0	2874.0	25	3119	30	1093	4	40867.0	0	0.0
11	LR999950.1	1100000.0	1200000.0	193	30060	26	5202	18	3226	1.0	312.0	10	3578	1.0	86.0	27	8222	45	2232	6	27905.0	1	1562.0
12	LR999950.1	1200000.0	1300000.0	209	22084	33	4997	14	1322	0.0	0.0	15	1731	3.0	253.0	20	3862	31	1271	2	6799.0	0	0.0
13	LR999950.1	1300000.0	1400000.0	210	21386	36	6163	15	1220	0.0	0.0	9	1218	2.0	173.0	23	3079	30	1153	1	24330.0	0	0.0
14	LR999950.1	1400000.0	1500000.0	191	31823	37	7311	10	784	0.0	0.0	6	1025	2.0	2163.0	30	11129	34	1336	3	14753.0	0	0.0
15	LR999950.1	1500000.0	1600000.0	226	29287	60	12288	13	1593	0.0	0.0	9	1290	1.0	91.0	30	6028	32	1317	0	0.0	0	0.0
16	LR999950.1	1600000.0	1700000.0	253	31696	52	9145	15	1358	0.0	0.0	9	2869	0.0	0.0	26	4473	35	1275	0	0.0	0	0.0
17	LR999950.1	1700000.0	1800000.0	209	36309	52	9092	10	3084	1.0	228.0	12	4906	2.0	91.0	31	11257	25	1089	2	22758.0	0	0.0
18	LR999950.1	1800000.0	1900000.0	221	28339	39	7438	15	1395	3.0	241.0	12	2932	3.0	272.0	36	6412	33	1488	3	44916.0	0	0.0
19	LR999950.1	1900000.0	2000000.0	212	33092	41	8190	16	3257	2.0	319.0	5	1672	3.0	301.0	28	8926	21	953	2	15984.0	0	0.0
20	LR999950.1	2000000.0	2100000.0	162	19182	37	6842	28	3926	0.0	0.0	7	637	1.0	79.0	17	1727	25	1093	4	41018.0	0	0.0
21	LR999950.1	2100000.0	2200000.0	223	23392	46	9210	10	819	0.0	0.0	6	564	1.0	38.0	23	2427	50	2229	2	20044.0	0	0.0
22	LR999950.1	2200000.0	2300000.0	189	23154	34	5380	11	1046	0.0	0.0	8	997	1.0	118.0	20	5541	35	1421	2	25407.0	0	0.0
23	LR999950.1	2300000.0	2400000.0	186	28084	33	6342	10	1418	1.0	464.0	7	926	0.0	0.0	24	11091	36	1458	3	20274.0	1	6649.0
24	LR999950.1	2400000.0	2500000.0	177	22520	35	6719	19	3316	0.0	0.0	8	818	1.0	61.0	20	4895	20	804	0	0.0	0	0.0
25	LR999950.1	2500000.0	2600000.0	201	27837	37	6977	12	1984	1.0	1050.0	11	2409	2.0	277.0	24	7086	28	1188	0	0.0	0	0.0
26	LR999950.1	2600000.0	2700000.0	212	32353	45	7888	12	2223	0.0	0.0	13	6596	2.0	69.0	24	5583	33	1420	1	14185.0	1	14185.0
27	LR999950.1	2700000.0	2800000.0	188	26364	37	6388	17	1878	0.0	0.0	13	4379	2.0	102.0	21	6229	36	1326	0	0.0	0	0.0
28	LR999950.1	2800000.0	2900000.0	210	22373	43	7673	16	2006	0.0	0.0	5	463	2.0	209.0	25	3099	35	1268	0	0.0	0	0.0
29	LR999950.1	2900000.0	3000000.0	198	24500	44	7909	10	983	0.0	0.0	6	979	8.0	3614.0	15	2308	29	1218	1	971.0	0	0.0
30	LR999950.1	3000000.0	3100000.0	191	29871	29	6253	18	3560	0.0	0.0	7	2894	2.0	127.0	17	6003	27	1187	1	5846.0	0	0.0
31	LR999950.1	3100000.0	3200000.0	215	30247	44	8021	10	987	0.0	0.0	4	472	4.0	4447.0	27	5455	24	952	0	0.0	0	0.0
32	LR999950.1	3200000.0	3300000.0	215	26814	39	7214	12	880	0.0	0.0	14	2494	1.0	45.0	20	5537	37	1436	0	0.0	0	0.0
33	LR999950.1	3300000.0	3400000.0	122	11467	21	3261	9	845	0.0	0.0	2	239	1.0	67.0	7	950	26	1122	0	0.0	0	0.0
34	LR999950.1	3400000.0	3500000.0	156	36181	13	3294	15	2766	0.0	0.0	4	767	11.0	11943.0	18	8978	45	2143	6	33585.0	0	0.0
35	LR999950.1	3500000.0	3600000.0	165	24755	25	5179	18	3574	3.0	439.0	7	952	9.0	2135.0	20	4570	33	1377	2	14182.0	0	0.0
36	LR999950.1	3600000.0	3700000.0	233	26770	47	7490	15	2540	0.0	0.0	16	2313	1.0	79.0	28	5191	31	1173	0	0.0	0	0.0
37	LR999950.1	3700000.0	3800000.0	128	19468	20	3332	5	387	0.0	0.0	2	408	5.0	5161.0	21	5350	40	1560	1	9585.0	1	9585.0
38	LR999950.1	3800000.0	3900000.0	148	16900	36	6507	14	2960	2.0	547.0	4	247	1.0	78.0	17	2358	41	1688	2	5541.0	0	0.0
39	LR999950.1	3900000.0	4000000.0	98	9840	27	4897	3	324	0.0	0.0	1	73	2.0	88.0	5	953	34	1261	3	13145.0	3	5117.0
40	LR999950.1	4000000.0	4100000.0	131	14115	29	5359	10	735	0.0	0.0	4	531	1.0	85.0	11	1269	26	992	1	707.0	0	0.0
41	LR999950.1	4100000.0	4200000.0	176	18359	32	4233	24	2412	3.0	289.0	4	354	0.0	0.0	17	2892	26	1139	0	0.0	0	0.0
42	LR999950.1	4200000.0	4300000.0	168	22635	30	5629	10	632	0.0	0.0	8	4092	1.0	50.0	26	5205	25	969	1	2408.0	0	0.0
