chrom begin end count_gene length_gene
LR999937.1 1 100000 2 12400
LR999937.1 100001 200000 0 
LR999937.1 200001 300000 1 461
LR999937.1 300001 400000 1 466
LR999937.1 400001 500000 1 2672
LR999937.1 500001 600000 0 
LR999937.1 600001 700000 0 
LR999937.1 700001 800000 3 16125
LR999937.1 800001 900000 1 1765
LR999937.1 900001 1000000 5 34251
LR999937.1 1000001 1100000 0 
LR999937.1 1100001 1200000 0 
LR999937.1 1200001 1300000 0 
LR999937.1 1300001 1400000 6 37646
LR999937.1 1400001 1500000 5 52695
LR999937.1 1500001 1600000 4 14856
LR999937.1 1600001 1700000 5 34534
LR999937.1 1700001 1800000 1 1186
LR999937.1 1800001 1900000 0 
LR999937.1 1900001 2000000 1 6803
LR999937.1 2000001 2100000 3 38684
LR999937.1 2100001 2200000 9 41756
LR999937.1 2200001 2300000 2 36020
LR999937.1 2300001 2400000 1 2483
LR999937.1 2400001 2500000 1 404
LR999937.1 2500001 2600000 0 
LR999937.1 2600001 2700000 0 
LR999937.1 2700001 2800000 1 4765
LR999937.1 2800001 2900000 0 
LR999937.1 2900001 3000000 0 
LR999937.1 3000001 3100000 2 43256
LR999937.1 3100001 3200000 5 16309
LR999937.1 3200001 3300000 2 9407
LR999937.1 3300001 3400000 1 878
LR999937.1 3400001 3500000 0 
LR999937.1 3500001 3600000 0 
LR999937.1 3600001 3700000 0 
LR999937.1 3700001 3800000 0 
LR999937.1 3800001 3900000 0 
LR999937.1 3900001 4000000 2 3447
LR999937.1 4000001 4100000 2 1702
LR999937.1 4100001 4200000 1 1768
LR999937.1 4200001 4300000 7 45150
LR999937.1 4300001 4400000 1 7318
LR999937.1 4400001 4500000 7 46450
LR999937.1 4500001 4600000 4 16346
LR999937.1 4600001 4700000 3 12815
LR999937.1 4700001 4800000 1 527
LR999937.1 4800001 4900000 0 
LR999937.1 4900001 5000000 0 
LR999937.1 5000001 5100000 0 
LR999937.1 5100001 5200000 5 53150
LR999937.1 5200001 5300000 0 
LR999937.1 5300001 5400000 0 
LR999937.1 5400001 5500000 0 
LR999937.1 5500001 5600000 0 
LR999937.1 5600001 5700000 7 43182
LR999937.1 5700001 5800000 7 22120
LR999937.1 5800001 5900000 1 1347
LR999937.1 5900001 6000000 6 20550
LR999937.1 6000001 6100000 9 31646
LR999937.1 6100001 6200000 7 30875
LR999937.1 6200001 6300000 3 7207
LR999937.1 6300001 6400000 10 36278
LR999937.1 6400001 6500000 0 
LR999937.1 6500001 6600000 0 
LR999937.1 6600001 6700000 2 4720
LR999937.1 6700001 6800000 2 6820
LR999937.1 6800001 6900000 7 33822
LR999937.1 6900001 7000000 0 
LR999937.1 7000001 7100000 4 16394
LR999937.1 7100001 7200000 3 26107
LR999937.1 7200001 7300000 0 
LR999937.1 7300001 7400000 0 
LR999937.1 7400001 7500000 0 
LR999937.1 7500001 7600000 4 14865
LR999937.1 7600001 7700000 1 7410
LR999937.1 7700001 7800000 1 3944
LR999937.1 7800001 7900000 0 
LR999937.1 7900001 8000000 0 
LR999937.1 8000001 8100000 0 
LR999937.1 8100001 8200000 2 2836
LR999937.1 8200001 8300000 3 11185
LR999937.1 8300001 8400000 4 27424
LR999937.1 8400001 8500000 2 6458
LR999937.1 8500001 8600000 0 
LR999937.1 8600001 8700000 0 
LR999937.1 8700001 8800000 0 
LR999937.1 8800001 8900000 0 
LR999937.1 8900001 9000000 1 2508
LR999937.1 9000001 9100000 1 2754
LR999937.1 9100001 9200000 0 
LR999937.1 9200001 9300000 1 3630
LR999937.1 9300001 9400000 0 
LR999937.1 9400001 9500000 1 7224
LR999937.1 9500001 9600000 0 
LR999937.1 9600001 9700000 0 
LR999937.1 9700001 9800000 6 62875
LR999937.1 9800001 9900000 1 13656
LR999937.1 9900001 10000000 0 
LR999937.1 10000001 10100000 0 
LR999937.1 10100001 10200000 0 
LR999937.1 10200001 10300000 1 10698
LR999937.1 10300001 10400000 0 
LR999937.1 10400001 10500000 0 
LR999937.1 10500001 10600000 2 2702
LR999937.1 10600001 10700000 4 12637
LR999937.1 10700001 10800000 5 50627
LR999937.1 10800001 10900000 0 
LR999937.1 10900001 11000000 0 
LR999937.1 11000001 11100000 3 15471
LR999937.1 11100001 11200000 12 47621
LR999937.1 11200001 11300000 3 15124
LR999937.1 11300001 11400000 3 15036
LR999937.1 11400001 11500000 2 28728
LR999937.1 11500001 11600000 1 3992
LR999937.1 11600001 11700000 3 18996
LR999937.1 11700001 11800000 1 3073
LR999937.1 11800001 11900000 1 1663
LR999937.1 11900001 12000000 1 10288
LR999937.1 12000001 12100000 4 22048
LR999937.1 12100001 12200000 2 7937
LR999937.1 12200001 12300000 4 17506
LR999937.1 12300001 12400000 3 13788
LR999937.1 12400001 12500000 1 1310
LR999937.1 12500001 12600000 0 
LR999937.1 12600001 12700000 0 
LR999937.1 12700001 12800000 0 
LR999937.1 12800001 12900000 1 2591
LR999937.1 12900001 13000000 0 
LR999937.1 13000001 13100000 0 
LR999937.1 13100001 13200000 1 3153
LR999937.1 13200001 13300000 0 
LR999937.1 13300001 13400000 0 
LR999937.1 13400001 13500000 0 
LR999937.1 13500001 13600000 3 10764
LR999937.1 13600001 13700000 6 23891
LR999937.1 13700001 13800000 5 30414
LR999937.1 13800001 13900000 6 16060
LR999937.1 13900001 14000000 2 6343
LR999937.1 14000001 14100000 0 
LR999937.1 14100001 14200000 0 
LR999937.1 14200001 14300000 1 33918
LR999937.1 14300001 14400000 2 14844
LR999937.1 14400001 14500000 5 12506
LR999937.1 14500001 14600000 5 14469
LR999937.1 14600001 14615999 0 
