	chrom	begin	end	count_rpt	length_rpt	count_SINE	length_SINE	count_DNA	length_DNA	count_TcM	length_TcM	count_LINE	length_LINE	count_LTR	length_LTR	count_nonLTR	length_nonLTR	count_simple	length_simple	count_gene	length_gene	count_gene_ex	length_gene_ex
0	LR999926.1	1.0	100000.0	157	24414	7.0	1153.0	14	2390	2.0	378.0	12.0	3732.0	1.0	63.0	21	4385	28	3621	0	0.0	0	0.0
1	LR999926.1	100001.0	200000.0	127	19591	10.0	2423.0	6	1351	0.0	0.0	3.0	668.0	3.0	2616.0	8	2798	32	1214	0	0.0	0	0.0
2	LR999926.1	200001.0	300000.0	93	12420	3.0	227.0	8	769	1.0	73.0	1.0	71.0	0.0	0.0	4	5211	43	2376	13	24587.0	0	0.0
3	LR999926.1	300001.0	400000.0	100	15985	7.0	1567.0	6	1160	3.0	351.0	7.0	1582.0	1.0	41.0	11	7521	45	2083	2	10179.0	0	0.0
4	LR999926.1	400001.0	500000.0	47	4225	0.0	0.0	2	252	0.0	0.0	0.0	0.0	0.0	0.0	4	1679	26	1076	7	10732.0	0	0.0
5	LR999926.1	500001.0	600000.0	82	6437	11.0	1991.0	1	96	0.0	0.0	1.0	55.0	1.0	33.0	2	284	30	1239	1	2451.0	0	0.0
6	LR999926.1	600001.0	700000.0	168	24612	17.0	3535.0	10	1849	0.0	0.0	11.0	2295.0	5.0	726.0	19	7361	33	1246	2	4903.0	0	0.0
7	LR999926.1	700001.0	800000.0	136	13027	17.0	2910.0	7	852	0.0	0.0	5.0	1054.0	4.0	379.0	17	2130	48	2034	7	26192.0	0	0.0
8	LR999926.1	800001.0	900000.0	127	23057	12.0	2043.0	4	520	0.0	0.0	7.0	4163.0	0.0	0.0	20	8422	33	1485	0	0.0	0	0.0
9	LR999926.1	900001.0	1000000.0	146	21106	30.0	5450.0	9	685	0.0	0.0	8.0	1028.0	2.0	129.0	20	7821	31	1423	3	10162.0	0	0.0
10	LR999926.1	1000000.0	1100000.0	124	11996	14.0	2346.0	12	971	0.0	0.0	2.0	226.0	3.0	220.0	14	3341	41	1674	2	9377.0	0	0.0
11	LR999926.1	1100000.0	1200000.0	115	16059	16.0	2895.0	12	1133	0.0	0.0	8.0	2078.0	4.0	2089.0	10	2773	23	1092	7	34841.0	0	0.0
12	LR999926.1	1200000.0	1300000.0	110	16876	13.0	2572.0	5	498	0.0	0.0	4.0	1190.0	5.0	4921.0	9	2957	41	2242	11	46161.0	0	0.0
13	LR999926.1	1300000.0	1400000.0	115	15743	16.0	2739.0	6	1045	0.0	0.0	3.0	406.0	4.0	317.0	13	5342	37	1701	13	51391.0	0	0.0
14	LR999926.1	1400000.0	1500000.0	143	18324	22.0	4120.0	9	749	0.0	0.0	7.0	1915.0	2.0	115.0	14	5266	39	1501	8	55066.0	1	704.0
15	LR999926.1	1500000.0	1600000.0	146	17149	21.0	4002.0	12	853	0.0	0.0	9.0	4064.0	3.0	261.0	19	2109	36	1580	1	2113.0	0	0.0
16	LR999926.1	1600000.0	1700000.0	167	21685	25.0	4430.0	10	808	0.0	0.0	12.0	3689.0	2.0	142.0	16	3594	27	1228	1	903.0	0	0.0
17	LR999926.1	1700000.0	1800000.0	180	24820	43.0	7993.0	9	940	3.0	175.0	6.0	627.0	9.0	5966.0	25	3354	31	1228	3	9832.0	0	0.0
18	LR999926.1	1800000.0	1900000.0	87	8591	15.0	2868.0	6	549	0.0	0.0	2.0	263.0	1.0	84.0	6	1104	18	790	0	0.0	0	0.0
19	LR999926.1	1900000.0	2000000.0	180	20191	28.0	5017.0	16	1847	0.0	0.0	2.0	211.0	0.0	0.0	15	2690	39	1426	4	10798.0	0	0.0
