LR999952.1 1 100000 
LR999952.1 100001 200000 2694
LR999952.1 200001 300000 9784
LR999952.1 300001 400000 7107
LR999952.1 400001 500000 9401
LR999952.1 500001 600000 9090
LR999952.1 600001 700000 14196
LR999952.1 700001 800000 11241
LR999952.1 800001 900000 13057
LR999952.1 900001 1e+06 11325
LR999952.1 1e+06 1.1e+06 11865
LR999952.1 1.1e+06 1.2e+06 14142
LR999952.1 1.2e+06 1.3e+06 9105
LR999952.1 1.3e+06 1.4e+06 10903
LR999952.1 1.4e+06 1.5e+06 10544
LR999952.1 1.5e+06 1.6e+06 11666
LR999952.1 1.6e+06 1.7e+06 10848
LR999952.1 1.7e+06 1.8e+06 11618
LR999952.1 1.8e+06 1.9e+06 13572
LR999952.1 1.9e+06 2e+06 11076
LR999952.1 2e+06 2.1e+06 11734
LR999952.1 2.1e+06 2.2e+06 14423
LR999952.1 2.2e+06 2.3e+06 12374
LR999952.1 2.3e+06 2.4e+06 9390
LR999952.1 2.4e+06 2.5e+06 10678
LR999952.1 2.5e+06 2.6e+06 9952
LR999952.1 2.6e+06 2.7e+06 12321
LR999952.1 2.7e+06 2.8e+06 12236
LR999952.1 2.8e+06 2.9e+06 10448
LR999952.1 2.9e+06 3e+06 7551
LR999952.1 3e+06 3.1e+06 6522
LR999952.1 3.1e+06 3.2e+06 9977
LR999952.1 3.2e+06 3.3e+06 7877
LR999952.1 3.3e+06 3.4e+06 15733
LR999952.1 3.4e+06 3.5e+06 15249
LR999952.1 3.5e+06 3.6e+06 14649
LR999952.1 3.6e+06 3.7e+06 14135
LR999952.1 3.7e+06 3.8e+06 13480
LR999952.1 3.8e+06 3.9e+06 10822
LR999952.1 3.9e+06 4e+06 15131
LR999952.1 4e+06 4.1e+06 14259
LR999952.1 4.1e+06 4.2e+06 13546
LR999952.1 4.2e+06 4.3e+06 11745
LR999952.1 4.3e+06 4.4e+06 7545
LR999952.1 4.4e+06 4.5e+06 8094
LR999952.1 4.5e+06 4.6e+06 11304
LR999952.1 4.6e+06 4.7e+06 8449
LR999952.1 4.7e+06 4.8e+06 10560
LR999952.1 4.8e+06 4.9e+06 11337
LR999952.1 4.9e+06 5e+06 14036
LR999952.1 5e+06 5.1e+06 13991
LR999952.1 5.1e+06 5.2e+06 13583
LR999952.1 5.2e+06 5.3e+06 10735
LR999952.1 5.3e+06 5.4e+06 6173
LR999952.1 5.4e+06 5.5e+06 7735
LR999952.1 5.5e+06 5.6e+06 11334
LR999952.1 5.6e+06 5.7e+06 9246
LR999952.1 5.7e+06 5.8e+06 6577
LR999952.1 5.8e+06 5.9e+06 11666
LR999952.1 5.9e+06 6e+06 12244
LR999952.1 6e+06 6.1e+06 8416
LR999952.1 6.1e+06 6.2e+06 7607
LR999952.1 6.2e+06 6.3e+06 11978
LR999952.1 6.3e+06 6.4e+06 15932
LR999952.1 6.4e+06 6.5e+06 11581
LR999952.1 6.5e+06 6.6e+06 8727
LR999952.1 6.6e+06 6.7e+06 8983
LR999952.1 6.7e+06 6.8e+06 10785
LR999952.1 6.8e+06 6.9e+06 16523
LR999952.1 6.9e+06 7e+06 12708
LR999952.1 7e+06 7.1e+06 13765
LR999952.1 7.1e+06 7.2e+06 11153
LR999952.1 7.2e+06 7.3e+06 10543
LR999952.1 7.3e+06 7.4e+06 8239
LR999952.1 7.4e+06 7.5e+06 8431
LR999952.1 7.5e+06 7.6e+06 8534
LR999952.1 7.6e+06 7.7e+06 9434
LR999952.1 7.7e+06 7.8e+06 10794
LR999952.1 7.8e+06 7.9e+06 11594
LR999952.1 7.9e+06 8e+06 12036
LR999952.1 8e+06 8.1e+06 4345
LR999952.1 8.1e+06 8.2e+06 2521
LR999952.1 8.2e+06 8262369 1010
