LR999924.1 1 100000 
LR999924.1 100001 200000 2711
LR999924.1 200001 300000 1514
LR999924.1 300001 400000 3287
LR999924.1 400001 500000 2529
LR999924.1 500001 600000 4461
LR999924.1 600001 700000 5439
LR999924.1 700001 800000 3697
LR999924.1 800001 900000 4262
LR999924.1 900001 1e+06 6879
LR999924.1 1e+06 1.1e+06 7049
LR999924.1 1.1e+06 1.2e+06 4327
LR999924.1 1.2e+06 1.3e+06 5493
LR999924.1 1.3e+06 1.4e+06 7171
LR999924.1 1.4e+06 1.5e+06 7764
LR999924.1 1.5e+06 1.6e+06 7030
LR999924.1 1.6e+06 1.7e+06 11662
LR999924.1 1.7e+06 1.8e+06 7089
LR999924.1 1.8e+06 1.9e+06 10301
LR999924.1 1.9e+06 2e+06 8198
LR999924.1 2e+06 2.1e+06 5667
LR999924.1 2.1e+06 2.2e+06 6133
LR999924.1 2.2e+06 2.3e+06 6573
LR999924.1 2.3e+06 2.4e+06 5937
LR999924.1 2.4e+06 2.5e+06 8903
LR999924.1 2.5e+06 2.6e+06 6736
LR999924.1 2.6e+06 2.7e+06 6116
LR999924.1 2.7e+06 2.8e+06 8076
LR999924.1 2.8e+06 2.9e+06 7910
LR999924.1 2.9e+06 3e+06 6229
LR999924.1 3e+06 3.1e+06 9320
LR999924.1 3.1e+06 3.2e+06 8246
LR999924.1 3.2e+06 3.3e+06 8183
LR999924.1 3.3e+06 3.4e+06 4551
LR999924.1 3.4e+06 3.5e+06 7533
LR999924.1 3.5e+06 3.6e+06 8979
LR999924.1 3.6e+06 3.7e+06 6682
LR999924.1 3.7e+06 3.8e+06 7319
LR999924.1 3.8e+06 3.9e+06 8775
LR999924.1 3.9e+06 4e+06 6382
LR999924.1 4e+06 4.1e+06 4492
LR999924.1 4.1e+06 4.2e+06 4901
LR999924.1 4.2e+06 4.3e+06 5212
LR999924.1 4.3e+06 4.4e+06 6208
LR999924.1 4.4e+06 4.5e+06 4902
LR999924.1 4.5e+06 4.6e+06 5102
LR999924.1 4.6e+06 4.7e+06 2959
LR999924.1 4.7e+06 4.8e+06 4146
LR999924.1 4.8e+06 4.9e+06 8131
LR999924.1 4.9e+06 5e+06 9537
LR999924.1 5e+06 5.1e+06 5605
LR999924.1 5.1e+06 5.2e+06 3055
LR999924.1 5.2e+06 5.3e+06 2494
LR999924.1 5.3e+06 5.4e+06 6072
