LR999946.1 1 100000 
LR999946.1 100001 200000 1332
LR999946.1 200001 300000 4005
LR999946.1 300001 400000 6601
LR999946.1 400001 500000 6172
LR999946.1 500001 600000 944
LR999946.1 600001 700000 660
LR999946.1 700001 800000 1188
LR999946.1 800001 900000 74
LR999946.1 900001 1e+06 8818
LR999946.1 1e+06 1.1e+06 9938
LR999946.1 1.1e+06 1.2e+06 10748
LR999946.1 1.2e+06 1.3e+06 7056
LR999946.1 1.3e+06 1.4e+06 7008
LR999946.1 1.4e+06 1.5e+06 10375
LR999946.1 1.5e+06 1.6e+06 8544
LR999946.1 1.6e+06 1.7e+06 11174
LR999946.1 1.7e+06 1.8e+06 9516
LR999946.1 1.8e+06 1.9e+06 12259
LR999946.1 1.9e+06 2e+06 9765
LR999946.1 2e+06 2.1e+06 13843
LR999946.1 2.1e+06 2.2e+06 9228
LR999946.1 2.2e+06 2.3e+06 8339
LR999946.1 2.3e+06 2.4e+06 13121
LR999946.1 2.4e+06 2.5e+06 12949
LR999946.1 2.5e+06 2.6e+06 10581
LR999946.1 2.6e+06 2.7e+06 13914
LR999946.1 2.7e+06 2.8e+06 10199
LR999946.1 2.8e+06 2.9e+06 11013
LR999946.1 2.9e+06 3e+06 14485
LR999946.1 3e+06 3.1e+06 10251
LR999946.1 3.1e+06 3.2e+06 7082
LR999946.1 3.2e+06 3.3e+06 12283
LR999946.1 3.3e+06 3.4e+06 6580
LR999946.1 3.4e+06 3.5e+06 9499
LR999946.1 3.5e+06 3.6e+06 9722
LR999946.1 3.6e+06 3.7e+06 11778
LR999946.1 3.7e+06 3.8e+06 11917
LR999946.1 3.8e+06 3.9e+06 11870
LR999946.1 3.9e+06 4e+06 11168
LR999946.1 4e+06 4.1e+06 9120
LR999946.1 4.1e+06 4.2e+06 10908
LR999946.1 4.2e+06 4.3e+06 9463
LR999946.1 4.3e+06 4.4e+06 6681
LR999946.1 4.4e+06 4.5e+06 8373
LR999946.1 4.5e+06 4.6e+06 6487
