LR999952.1 1 100000 
LR999952.1 100001 200000 1732
LR999952.1 200001 300000 2654
LR999952.1 300001 400000 4786
LR999952.1 400001 500000 3004
LR999952.1 500001 600000 2921
LR999952.1 600001 700000 4839
LR999952.1 700001 800000 4520
LR999952.1 800001 900000 3787
LR999952.1 900001 1e+06 3115
LR999952.1 1e+06 1.1e+06 4724
LR999952.1 1.1e+06 1.2e+06 5881
LR999952.1 1.2e+06 1.3e+06 5524
LR999952.1 1.3e+06 1.4e+06 3801
LR999952.1 1.4e+06 1.5e+06 4302
LR999952.1 1.5e+06 1.6e+06 3138
LR999952.1 1.6e+06 1.7e+06 4515
LR999952.1 1.7e+06 1.8e+06 5825
LR999952.1 1.8e+06 1.9e+06 8101
LR999952.1 1.9e+06 2e+06 3883
LR999952.1 2e+06 2.1e+06 4589
LR999952.1 2.1e+06 2.2e+06 4524
LR999952.1 2.2e+06 2.3e+06 4869
LR999952.1 2.3e+06 2.4e+06 5043
LR999952.1 2.4e+06 2.5e+06 4901
LR999952.1 2.5e+06 2.6e+06 5153
LR999952.1 2.6e+06 2.7e+06 2244
LR999952.1 2.7e+06 2.8e+06 4948
LR999952.1 2.8e+06 2.9e+06 2224
LR999952.1 2.9e+06 3e+06 5363
LR999952.1 3e+06 3.1e+06 5483
LR999952.1 3.1e+06 3.2e+06 2843
LR999952.1 3.2e+06 3.3e+06 2507
LR999952.1 3.3e+06 3.4e+06 2474
LR999952.1 3.4e+06 3.5e+06 4029
LR999952.1 3.5e+06 3.6e+06 3456
LR999952.1 3.6e+06 3.7e+06 4319
LR999952.1 3.7e+06 3.8e+06 3745
LR999952.1 3.8e+06 3.9e+06 1016
LR999952.1 3.9e+06 4e+06 2573
LR999952.1 4e+06 4.1e+06 5620
LR999952.1 4.1e+06 4.2e+06 4996
LR999952.1 4.2e+06 4.3e+06 6068
LR999952.1 4.3e+06 4.4e+06 4813
LR999952.1 4.4e+06 4.5e+06 2651
LR999952.1 4.5e+06 4.6e+06 1974
LR999952.1 4.6e+06 4.7e+06 1841
LR999952.1 4.7e+06 4.8e+06 1438
LR999952.1 4.8e+06 4.9e+06 4654
LR999952.1 4.9e+06 5e+06 5418
LR999952.1 5e+06 5.1e+06 6622
LR999952.1 5.1e+06 5.2e+06 4942
LR999952.1 5.2e+06 5.3e+06 3189
LR999952.1 5.3e+06 5.4e+06 4426
LR999952.1 5.4e+06 5.5e+06 3103
LR999952.1 5.5e+06 5.6e+06 4292
LR999952.1 5.6e+06 5.7e+06 5511
LR999952.1 5.7e+06 5.8e+06 7012
LR999952.1 5.8e+06 5.9e+06 3455
LR999952.1 5.9e+06 6e+06 3762
LR999952.1 6e+06 6.1e+06 6557
LR999952.1 6.1e+06 6.2e+06 5406
LR999952.1 6.2e+06 6.3e+06 5337
LR999952.1 6.3e+06 6.4e+06 5050
LR999952.1 6.4e+06 6.5e+06 5208
LR999952.1 6.5e+06 6.6e+06 5481
LR999952.1 6.6e+06 6.7e+06 3639
LR999952.1 6.7e+06 6.8e+06 4468
LR999952.1 6.8e+06 6.9e+06 5110
LR999952.1 6.9e+06 7e+06 3220
LR999952.1 7e+06 7.1e+06 4392
LR999952.1 7.1e+06 7.2e+06 2647
LR999952.1 7.2e+06 7.3e+06 3910
LR999952.1 7.3e+06 7.4e+06 2788
LR999952.1 7.4e+06 7.5e+06 4538
LR999952.1 7.5e+06 7.6e+06 3297
LR999952.1 7.6e+06 7.7e+06 8318
LR999952.1 7.7e+06 7.8e+06 4048
LR999952.1 7.8e+06 7.9e+06 3751
LR999952.1 7.9e+06 8e+06 4006
LR999952.1 8e+06 8.1e+06 1521
LR999952.1 8.1e+06 8.2e+06 83
LR999952.1 8.2e+06 8262369 
