chrom begin end CDS_length
LR999951.1 1 100000 2995
LR999951.1 100001 200000 
LR999951.1 200001 300000 
LR999951.1 300001 400000 
LR999951.1 400001 500000 
LR999951.1 500001 600000 
LR999951.1 600001 700000 332
LR999951.1 700001 800000 3592
LR999951.1 800001 900000 2097
LR999951.1 900001 1000000 2575
LR999951.1 1000001 1100000 
LR999951.1 1100001 1200000 
LR999951.1 1200001 1300000 580
LR999951.1 1300001 1400000 170
LR999951.1 1400001 1500000 257
LR999951.1 1500001 1600000 1600
LR999951.1 1600001 1700000 1199
LR999951.1 1700001 1800000 2541
LR999951.1 1800001 1900000 3752
LR999951.1 1900001 2000000 4446
LR999951.1 2000001 2100000 3773
LR999951.1 2100001 2200000 4587
LR999951.1 2200001 2300000 1846
LR999951.1 2300001 2400000 4004
LR999951.1 2400001 2500000 2307
LR999951.1 2500001 2600000 5909
LR999951.1 2600001 2700000 4478
LR999951.1 2700001 2800000 2881
LR999951.1 2800001 2900000 4480
LR999951.1 2900001 3000000 12194
LR999951.1 3000001 3100000 6123
LR999951.1 3100001 3200000 
LR999951.1 3200001 3300000 
LR999951.1 3300001 3400000 
LR999951.1 3400001 3500000 589
LR999951.1 3500001 3600000 1291
LR999951.1 3600001 3700000 4597
LR999951.1 3700001 3800000 6247
LR999951.1 3800001 3900000 8730
LR999951.1 3900001 4000000 12621
LR999951.1 4000001 4100000 9154
LR999951.1 4100001 4200000 7242
LR999951.1 4200001 4300000 5806
LR999951.1 4300001 4400000 1254
LR999951.1 4400001 4500000 
LR999951.1 4500001 4600000 
LR999951.1 4600001 4700000 1705
LR999951.1 4700001 4800000 1702
LR999951.1 4800001 4900000 
LR999951.1 4900001 5000000 2442
LR999951.1 5000001 5100000 
LR999951.1 5100001 5200000 
LR999951.1 5200001 5300000 1417
LR999951.1 5300001 5400000 
LR999951.1 5400001 5500000 
LR999951.1 5500001 5600000 
LR999951.1 5600001 5700000 473
LR999951.1 5700001 5800000 359
LR999951.1 5800001 5900000 5268
LR999951.1 5900001 6000000 5736
LR999951.1 6000001 6100000 6968
LR999951.1 6100001 6200000 11020
LR999951.1 6200001 6300000 
LR999951.1 6300001 6400000 
LR999951.1 6400001 6500000 
LR999951.1 6500001 6600000 2820
LR999951.1 6600001 6700000 
LR999951.1 6700001 6800000 
LR999951.1 6800001 6900000 1492
LR999951.1 6900001 7000000 
LR999951.1 7000001 7100000 635
LR999951.1 7100001 7200000 5292
LR999951.1 7200001 7300000 5738
LR999951.1 7300001 7400000 7767
LR999951.1 7400001 7500000 1080
LR999951.1 7500001 7600000 2945
LR999951.1 7600001 7700000 3482
LR999951.1 7700001 7800000 3633
LR999951.1 7800001 7900000 
LR999951.1 7900001 8000000 1791
LR999951.1 8000001 8100000 4809
LR999951.1 8100001 8200000 5047
LR999951.1 8200001 8300000 242
LR999951.1 8300001 8400000 
LR999951.1 8400001 8500000 
LR999951.1 8500001 8600000 765
LR999951.1 8600001 8700000 5279
LR999951.1 8700001 8800000 4213
LR999951.1 8800001 8900000 
LR999951.1 8900001 9000000 1327
LR999951.1 9000001 9100000 2673
LR999951.1 9100001 9200000 5257
LR999951.1 9200001 9300000 3257
LR999951.1 9300001 9400000 488
LR999951.1 9400001 9500000 2790
LR999951.1 9500001 9600000 
LR999951.1 9600001 9700000 1497
LR999951.1 9700001 9800000 642
LR999951.1 9800001 9839934 3273
