chr	pos	endpos	pheno
Z	120637	126488	OG0003119
Z	11313042	11316256	OG0012046
1	148219	169242	OG0012107
1	5976581	5977236	OG0012107
2	10255672	10256341	OG0010585
2	10263834	10264925	OG0010585
2	10295446	10295673	OG0010585
2	10302436	10303029	OG0010585
2	10336136	10336302	OG0010585
3	291840	294861	OG0000533
3	337395	342140	OG0000533
3	383932	386599	OG0000533
3	390658	398193	OG0000533
3	407990	412438	OG0000533
3	427085	428219	OG0000533
3	434518	436024	OG0000533
3	3173765	3174661	OG0004801
3	3254979	3261344	OG0000452
3	3402168	3405115	OG0000452
3	3554479	3555386	OG0004801
3	3602943	3608921	OG0000452
3	3690117	3690643	OG0004801
3	3922341	3926010	OG0000452
3	4024851	4025756	OG0004801
3	4070859	4074990	OG0000452
3	4158918	4159444	OG0004801
3	4307479	4308385	OG0004801
3	4407318	4409084	OG0000452
3	4410051	4412041	OG0000452
3	4428598	4429498	OG0004801
3	4447366	4450888	OG0000452
3	4630008	4631782	OG0000452
3	5554730	5563905	OG0000026
3	10726270	10736224	OG0003119
5	2770022	2775258	OG0000026
6	1061781	1066210	OG0000026
6	12511553	12519357	OG0000026
6	14681567	14688771	OG0000026
7	11819506	11829310	OG0000026
8	381824	390769	OG0000026
8	988993	990122	OG0000414
8	7231460	7255920	OG0000026
9	1962735	1964321	OG0012046
9	4097624	4105242	OG0000026
9	13109195	13116387	OG0000026
9	14150373	14158121	OG0012046
10	1329648	1342242	OG0010750
10	2395952	2402731	OG0002237
10	2460261	2488957	OG0002237
10	2703361	2709504	OG0002237
10	2776645	2777256	OG0002237
10	2821758	2822865	OG0002237
10	3037852	3041365	OG0002237
10	3362381	3363469	OG0002237
10	3482872	3483946	OG0002237
10	4247864	4248572	OG0002237
10	4580490	4581189	OG0002237
10	4889544	4890055	OG0002237
10	12010439	12046244	OG0000026
11	1841124	1856088	OG0000026
11	11845379	11859972	OG0000026
15	13886041	13898636	OG0003119
16	7993427	7995801	OG0010750
16	13147341	13171920	OG0000026
17	4199119	4204169	OG0000026
17	7635096	7641616	OG0000026
17	11786610	11786864	OG0011639
17	11795122	11795343	OG0011639
17	11818466	11819807	OG0010010
17	11830516	11831740	OG0010010
17	11835419	11836643	OG0010010
17	11841995	11843219	OG0010010
17	11851680	11856813	OG0010010
17	11868590	11868826	OG0011639
17	11872652	11872888	OG0011639
17	11878711	11879948	OG0010010
17	13280638	13290139	OG0000026
18	2820682	2822962	OG0010750
19	6722393	6722815	OG0010750
20	9806198	9820725	OG0010750
21	103039	120817	OG0003119
21	2988867	3090003	OG0000026
21	8751245	8769768	OG0000026
21	9789635	9805548	OG0003119
22	5005651	5005839	OG0011567
22	5195973	5196164	OG0011567
22	5203773	5203952	OG0011567
22	5290790	5292713	OG0011567
22	5464356	5465828	OG0000026
22	10858569	10872690	OG0000026
23	35410	40646	OG0011960
23	2741323	2776211	OG0000026
23	9681267	9681850	OG0012107
23	11320498	11325743	OG0011960
24	54872	66980	OG0003119
24	66983	137047	OG0003119
24	160736	173748	OG0003119
24	2520026	2546355	OG0000026
24	11095349	11096088	OG0000414
24	11104340	11108285	OG0000414
24	11109488	11110890	OG0000414
24	11113526	11114537	OG0000414
24	11125188	11134234	OG0000414
24	11135335	11136672	OG0000414
26	3626891	3630731	OG0000837
26	3632336	3650126	OG0000837
26	3659369	3667953	OG0000837
26	3706851	3713784	OG0000837
26	3744095	3756437	OG0000837
26	3784462	3792432	OG0000837
26	3808862	3824099	OG0000837
26	3860426	3868455	OG0000837
27	36607	44037	OG0003119
27	5381349	5388998	OG0011246
27	5400090	5409746	OG0011246
27	5438354	5440347	OG0011246
27	5448027	5451051	OG0011246
27	6096484	6096816	OG0011246
28	2314467	2327477	OG0000026
28	4267332	4270100	OG0010750
30	1712227	1731047	OG0000026
