chr	pos	endpos	pheno
Z	11313042	11316256	ATPase
2	10255672	10256341	Carboxylesterase
2	10263834	10264925	Carboxylesterase
2	10295446	10295673	Carboxylesterase
2	10302436	10303029	Carboxylesterase
2	10336136	10336302	Carboxylesterase
3	291840	294861	Papain_protease
3	337395	342140	Papain_protease
3	383932	386599	Papain_protease
3	390658	398193	Papain_protease
3	407990	412438	Papain_protease
3	427085	428219	Papain_protease
3	434518	436024	Papain_protease
3	3173765	3174661	Moricin
3	3554479	3555386	Moricin
3	3690117	3690643	Moricin
3	4024851	4025756	Moricin
3	4158918	4159444	Moricin
3	4307479	4308385	Moricin
3	4428598	4429498	Moricin
8	988993	990122	LDL_Receptor
9	1962735	1964321	ATPase
9	14150373	14158121	ATPase
10	1329648	1342242	Ubiquitin-like_protease
10	2395952	2402731	Lipophilic_transfer_protein
10	2460261	2488957	Lipophilic_transfer_protein
10	2703361	2709504	Lipophilic_transfer_protein
10	2776645	2777256	Lipophilic_transfer_protein
10	2821758	2822865	Lipophilic_transfer_protein
10	3037852	3041365	Lipophilic_transfer_protein
10	3362381	3363469	Lipophilic_transfer_protein
10	3482872	3483946	Lipophilic_transfer_protein
10	4247864	4248572	Lipophilic_transfer_protein
10	4580490	4581189	Lipophilic_transfer_protein
10	4889544	4890055	Lipophilic_transfer_protein
16	7993427	7995801	Ubiquitin-like_protease
17	11786610	11786864	 Trypsin-like_serine_protease_2
17	11795122	11795343	 Trypsin-like_serine_protease_2
17	11818466	11819807	Trypsin-like_serine_protease
17	11830516	11831740	Trypsin-like_serine_protease
17	11835419	11836643	Trypsin-like_serine_protease
17	11841995	11843219	Trypsin-like_serine_protease
17	11851680	11856813	Trypsin-like_serine_protease
17	11868590	11868826	 Trypsin-like_serine_protease_2
17	11872652	11872888	 Trypsin-like_serine_protease_2
17	11878711	11879948	Trypsin-like_serine_protease
18	2820682	2822962	Ubiquitin-like_protease
19	6722393	6722815	Ubiquitin-like_protease
20	9806198	9820725	Ubiquitin-like_protease
22	5005651	5005839	UDP-glucosyl_transferase
22	5195973	5196164	UDP-glucosyl_transferase
22	5203773	5203952	UDP-glucosyl_transferase
22	5290790	5292713	UDP-glucosyl_transferase
24	11095349	11096088	LDL_Receptor
24	11104340	11108285	LDL_Receptor
24	11109488	11110890	LDL_Receptor
24	11113526	11114537	LDL_Receptor
24	11125188	11134234	LDL_Receptor
24	11135335	11136672	LDL_Receptor
26	3626891	3630731	Calpain_protease
26	3632336	3650126	Calpain_protease
26	3659369	3667953	Calpain_protease
26	3706851	3713784	Calpain_protease
26	3744095	3756437	Calpain_protease
26	3784462	3792432	Calpain_protease
26	3808862	3824099	Calpain_protease
26	3860426	3868455	Calpain_protease
27	5381349	5388998	Chorion_protein
27	5400090	5409746	Chorion_protein
27	5438354	5440347	Chorion_protein
27	5448027	5451051	Chorion_protein
27	6096484	6096816	Chorion_protein
28	4267332	4270100	Ubiquitin-like_protease
